CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION;VALOR
INSUMOS;MAGLUMI Total Î² HCG (CLIA) 2G/50 tests;130652003M;ML;2;3.12
INSUMOS;MAGLUMI H.pylori IgG (CLIA) 2G/50 tests;130601521M;ML;2;3.12
INSUMOS;MAGLUMI PCT (CLIA) 2G/50 tests;130666001M;ML;2;3.12
INSUMOS;MAGLUMI FA (CLIA) 2G/50 tests;130663001M;ML;2;3
INSUMOS;MAGLUMI Insulin (CLIA) 2G/50 tests;130655002M;ML;2;0.14
INSUMOS;MAGLUMI Ferritin (CLIA) 2G/50 tests;130651001M;ML;2;0.7
INSUMOS;MAGLUMI Prolactin (CLIA) 2G/50 tests;130652006M;ML;2;0.14
INSUMOS;MAGLUMI FSH (CLIA) 2G/50 tests;130652001M;ML;2;1041.67
INSUMOS;MAGLUMI CA 15-3 (CLIA) 2G/50 tests;130601038M;ML;2;666.67
INSUMOS;MAGLUMI NT-proBNP (CLIA) 2G/50 tests;130656004M;ML;2;166.67
MEDICAMENTOS;MAGLUMI D-Dimer (CLIA) 2G/50 tests;130656008M;ML;2;2.38
INSUMOS;MAGLUMI T4 (CLIA) 2G/50 tests ;130653002M;ML;2;156.33
INSUMOS;MAGLUMI T3 (CLIA) 2G/50 tests;130653003M;ML;2;3.08
INSUMOS;MAGLUMI Free T3 (CLIA) 2G/50 tests;130653005M;ML;2;291.67
INSUMOS;MAGLUMI Rubella IgG (CLIA) 1G/50 tests;130612003M;ML;2;6.67
INSUMOS;MAGLUMI cTnI (CLIA) 2G/50 tests;130656002M;ML;2;2000
INSUMOS;MAGLUMI TSH (CLIA) 2G/50 tests;130603023M;ML;2;0.03
INSUMOS;MAGLUMI IgE (CLIA) 2G/50 tests;130658001M;ML;2;0.03
INSUMOS;MAGLUMI 17Î±-OH Progesterone (CLIA) 2G/50 tests;130670004M;ML;2;0.02
INSUMOS;MAGLUMI Estradiol (CLIA) 2G/50 tests;130652007M;ML;2;3750
INSUMOS;MAGLUMI TSH (CLIA) 2G/100 tests;130203023M;ML;2;3.77
INSUMOS;MAGLUMI Progesterone (CLIA) 2G/50 tests;130652009M;ML;2;2.11
INSUMOS;MAGLUMI Vitamin B12 (CLIA) 2G/100 tests;130263002M;ML;2;0.14
INSUMOS;MAGLUMI Cortisol (CLIA) 2G/50 tests;130670002M;ML;2;0.14
INSUMOS;MAGLUMI Androstenedione (CLIA) 2G/50 tests;130602516M;ML;2;0.14
INSUMOS;MAGLUMI CYFRA 21-1 (CLIA) 2G/50 tests;130601040M;ML;2;166.67
INSUMOS;MAGLUMI CEA (CLIA) 2G/50 tests;130601032M;ML;2;22.5
INSUMOS;MAGLUMI HBsAg(CLIA) 2G/50 tests;130610009M;ML;2;666.67
INSUMOS;MAGLUMI Light Check(1Box=5*2ml);130299006M;ML;2;0.14
INSUMOS; UA Gen.2, 400Tests, cobas c, Integra ;3183807190;ML;2;2.43
INSUMOS; ASTL,  500Tests, cobas c, Integra ;20764949322;ML;2;0.15
INSUMOS; UREAL,  500Tests, cobas c, Integra ;4460715190;ML;2;8.33
INSUMOS; ALTL,  500Tests, cobas c, Integra ;20764957322;ML;2;41.86
INSUMOS; ALTL,  500Tests, cobas c, Integra ;20764957322;ML;2;0.16
INSUMOS; CHOL HiCo Gen.2, 400Tests, cobas c, Int. ;3039773190;ML;2;266.67
INSUMOS; TRSF Gen.2, 100Tests, cobas c, Integra ;3015050122;ML;2;116.67
INSUMOS; GLUC HK Gen.3, 800Tests, cobas c, Int. ;4404483190;ML;2;333.33
INSUMOS; GLUC HK Gen.3, 800Tests, cobas c, Int. ;4404483190;ML;2;5.17
INSUMOS;CRP Gen.4 250 Test cobas c501/INT;7876033190;ML;2;5.33
INSUMOS; CRP LX HS, 300Tests, cobas c, Integra ;4628918190;ML;2;0.09
INSUMOS;A1C-Gen.3, 150Tests,cobas c 501 ;5336163190;ML;2;0.09
INSUMOS; ASLO TQ, 150Tests, cobas c ;4489403190;ML;2;0.09
INSUMOS; Cystatin C TQ Gen.2, 225T, cobas c,INT ;6600239190;ML;2;0.09
INSUMOS; Cystatin C TQ Gen.2, 225T, cobas c,INT ;6600239190;ML;2;0.09
INSUMOS; PHOS Gen.2, 250Tests, cobas c, Integra ;3183793122;ML;2;2.83
INSUMOS; PHOS Gen.2, 250Tests, cobas c, Integra ;3183793122;ML;2;700
INSUMOS; BIL-T Gen.3, 250Tests cobas c,Integra ;5795397190;ML;2;22.22
MEDICAMENTOS; BIL-T Gen.3, 250Tests cobas c,Integra ;5795397190;ML;2;4.85
INSUMOS; CA, Gen.2, 300Tests, cobas c,Integra ;5061482190;ML;2;0.9
INSUMOS; BIL-D Gen.2, 350Tests cobas c, Integra ;5589061190;ML;2;0.03
INSUMOS; BIL-D Gen.2, 350Tests cobas c, Integra ;5589061190;ML;2;3.17
INSUMOS; ALP IFCC Gen.2 S, 200T, cobas c, Int. ;3333752190;ML;2;916.67
INSUMOS; ALP IFCC Gen.2 S, 200T, cobas c, Int. ;3333752190;ML;2;7.92
INSUMOS; AMYL Gen.2, 300Tests, cobas c, Integra ;3183742122;ML;2;150
INSUMOS; ALB-T TQ Gen.2, 100Tests, cobas c, Int.;4469658190;ML;2;223.33
INSUMOS;HDL-C GEN.4, 350 TEST COBAS C INTEGRA;7528566190;ML;2;113.33
INSUMOS; RFII, 100Tests, cobas c, Integra ;20764574322;ML;2;113.33
INSUMOS; LDHI Gen.2 acc.IFCC, 300T, cobas c, Int. ;3004732122;ML;2;3600
INSUMOS;MAGLUMI Rubella IgM (CLIA) 1G/50 tests;130612004M;ML;2;0.22
INSUMOS;TROPONIN T hS STAT ELECSYS COBAS E 100 V2,1;9315349190;ML;2;0.22
INSUMOS; Elecsys CA 19-9 Calset ;11776215122;ML;2;0.06
INSUMOS;FSH CS Elecsys V3;8932417190;ML;2;0.22
INSUMOS;Total PSA G2 CS Elecsys V3;8838534190;ML;2;0.05
INSUMOS;Elecsys CEA Calset 2.Gen.;11731645322;ML;2;125
INSUMOS; Anti-TPO CS Elecsys ;6472931190;ML;2;17.22
INSUMOS; Elecsys Ferritin Calset ;3737586190;ML;2;400
INSUMOS; PreciControl Tumor Marker Elec ;1776452122;ML;2;391.67
INSUMOS;FT3 G3 CS Elecsys V2;9077871190;ML;2;116.67
INSUMOS;TSH CS Elecsys V3;8443459190;ML;2;608.33
INSUMOS;ELECSYS CYFRA calset II;11820974322;ML;2;253.9
INSUMOS; Vitamin B12 G2 CS Elecsys V2 ;7212780190;ML;2;313.33
INSUMOS; Elecsys IgE Calset ;11930427122;ML;2;313.33
INSUMOS; Elecsys T3 Calset ;11731548122;ML;2;313.33
INSUMOS;"free PSA CS Elecsys V3	";8851964190;ML;2;329.25
INSUMOS;FSH CS Elecsys V3;8932417190;ML;2;116.67
INSUMOS; Folate G3 CS Elecsys V2 ;7560001190;ML;2;313.33
INSUMOS; Elecsys LH CalSet 2.Gen. ;3561097190;ML;2;396.67
INSUMOS; Testosterone CS Gen.2.1 Elecsys,cobas e ;5202230190;ML;2;187.7
INSUMOS; Elecsys CA 19-9 Calset ;11776215122;ML;2;205
INSUMOS; Troponin PC Elecsys ;5095107190;ML;2;137.5
INSUMOS; Progesterone G3 CS Elecsys ;7092547190;ML;2;126.95
INSUMOS; PreciControl Multimarker Elecsys ;5341787190;ML;2;110.4
INSUMOS;Total PSA G2 CS Elecsys V3;8838534190;ML;2;110.4
INSUMOS; Progesterone G3 CS Elecsys ;7092547190;ML;2;4.47
INSUMOS; Universal Diluent 2x36ml Elecsys;3183971122;ML;2;4.63
INSUMOS; Elecsys Ferritin x100 Gen.2 ;3737551190;ML;2;124.58
INSUMOS; IgE G2 Elecsys cobas e 100 ;4827031190;ML;2;391.67
INSUMOS; AFP G2 CS Elecsys V3;9227261190;ML;2;223.33
INSUMOS; Elecsys HCG+B CalSet II ;3302652190;ML;2;3.67
INSUMOS; Testosterone CS Gen.2.1 Elecsys,cobas e ;5202230190;ML;2;250
INSUMOS; PreciControl HBA1c Path ;5912504190;ML;2;800
INSUMOS; Calibrator f.a.s.proteins ;11355279216;ML;2;333.33
INSUMOS; Elecsys T4 Calset 2.Generation ;12017717122;ML;2;126.95
INSUMOS; Troponin PC Elecsys ;5095107190;ML;2;510
INSUMOS; Vitamin B12 G2 CS Elecsys V2 ;7212780190;ML;2;783.33
INSUMOS; PreciControl HBA1c Norm ;5479207190;ML;2;141.67
INSUMOS; Elecsys LH CalSet 2.Gen. ;3561097190;ML;2;158.33
INSUMOS; Controlset RF II ;3005496122;ML;2;341.67
INSUMOS;PRECICONTROL VARIA ELECSYS;5618860190;ML;2;145.83
INSUMOS;C.f.a.s. PUC;3121305122;ML;2;208.33
INSUMOS;HSV PC ELECSYS;5572207190;ML;2;73.33
INSUMOS; ISE CLEANING SOLUTION  5x100ml ;11298500316;ML;2;196
INSUMOS; Activator for cobas c,Integra,c111 ;4663632190;ML;2;110.4
INSUMOS; Activator for cobas c,Integra,c111 ;4663632190;ML;2;110.4
INSUMOS; PreciControl ClinChem Multi 2, 20x5ml ;5117216190;ML;2;126.95
INSUMOS; PreciControl Universal G.2 Ele ;11731416190;ML;2;256.97
INSUMOS; PreciControl Universal G.2 Ele ;11731416190;ML;2;150.58
INSUMOS; PreciControl ClinChem Multi 1, 4x5 ml ;5947626190;ML;2;205
INSUMOS; PreciControl ClinChem Multi 2, 4x5 ml ;5947774190;ML;2;132.5
INSUMOS;Calibrator f.a.s. 12x3 ml;10759350190;ML;2;158.33
INSUMOS; NACl 9% Dil, cobas c ;4489357190;ML;2;72
INSUMOS; LIPC, 200Tests, cobas c, Integra ;3029590322;ML;2;0.25
INSUMOS; CA, Gen.2, 300Tests, cobas c,Integra ;5061482190;ML;2;0.17
INSUMOS; IRON Gen.2, 200Tests, cobas c, Integra ;3183696122;ML;2;3.33
INSUMOS; Elecsys ProCell ;11662988122;ML;2;36.67
INSUMOS; Elecsys Clean-Cell ;11662970122;ML;2;0.67
INSUMOS; Cell Wash Solution I/NaOH-D 2x1,8 L ;4880285190;ML;2;0.25
INSUMOS; Cell Wash Solution I/NaOH-D 2x1,8 L ;4880285190;ML;2;0.2
INSUMOS; Acid wash Solution 2x1,8 L ;4880307190;ML;2;6.67
INSUMOS; Acid wash Solution 2x1,8 L ;4880307190;ML;2;8.19
INSUMOS;MAGLUMI Starter  1+2 (1Box=2*230ml) SERIE M/X3;130299004M;ML;2;8.19
INSUMOS;MAGLUMI Starter  1+2 (1Box=2*230ml) SERIE M/X3;130299004M;ML;2;8.19
INSUMOS;MAGLUMI System Tubing Cleaning Solution(1Box=1Bottle=1*500ml);130299007M;ML;2;8.19
INSUMOS;MAGLUMI Wash Concentrate 1Box=1x714mL (SERIE M/X3);130299005M;ML;2;125
INSUMOS; TPUC Gen.3, 150Tests, cobas c, IntegraTP ;3333825190;ML;2;1.68
INSUMOS; EcoTergent, cobas c311 ;5422485190;ML;2;30.8
INSUMOS; CREAJ Gen.2, 700Test, cobas c, Integra ;4810716190;ML;2;10.22
INSUMOS; SMS, cobas c ;4489225190;ML;2;10.22
INSUMOS; NaOH-D, cobas c ;4489241190;ML;2;10.22
INSUMOS; ALB BCG Gen.2, 300Tests, cobas c, Int. ;3183688122;ML;2;0.8
INSUMOS; TP Gen.2, 300Tests, cobas c, Integra ;3183734190;ML;2;153.33
INSUMOS; Sample Cleaner 2, cobas 6000 ;5958024190;ML;2;40
INSUMOS;SAMPLE CLEANER1 Multiclean, cobas c ;4708725190;ML;2;0.01
INSUMOS; EcoTergent, cobas c501/502, 12x59 ml ;6544410190;ML;2;0.02
INSUMOS;ISE Int.Stand. Gen.2,  cobas c, Hitachi;4522320190;ML;2;56.33
INSUMOS;ISE Reference Electrolyte 300ML;11360981216;ML;2;11.5
INSUMOS; ISE Diluent Gen.2, cobas c, Hitachi ;4522630190;ML;2;500
INSUMOS; ISE Diluent Gen.2, cobas c, Hitachi ;4522630190;ML;2;5.83
INSUMOS;ISE Reference Electrolyte 300ML;11360981216;ML;2;0.14
INSUMOS; ASSAY CUP ELECSYS2010           CUU 2010 ;11706802001;ML;2;237.5
