GRUPO;IDENTIFICADOR;CODIGO;SERVICIO
ALERGIAS;6607;;RAST TEST ALERGENOS: ARÁNDANO ROJO
ALERGIAS;6608;;RAST TEST ALERGENOS: ARENQUE
ALERGIAS;6609;;RAST TEST ALERGENOS: ARROZ
ALERGIAS;6610;;RAST TEST ALERGENOS: ARTEMISA
ALERGIAS;6611;;RAST TEST ALERGENOS: ARVEJA
ALERGIAS;6612;;RAST TEST ALERGENOS: ASCARIS
ALERGIAS;6613;;RAST TEST ALERGENOS: ASPERGILLUS
ALERGIAS;6614;;RAST TEST ALERGENOS: ASPERGILLUS FUMIGATUS
ALERGIAS;6615;;RAST TEST ALERGENOS: ASPERGILLUS NIGER
ALERGIAS;6616;;RAST TEST ALERGENOS: ATUN
ALERGIAS;6617;;RAST TEST ALERGENOS: AVELLANAS
ALERGIAS;6618;;RAST TEST ALERGENOS: AVELLANO
ALERGIAS;6619;;RAST TEST ALERGENOS: AVENA
ALERGIAS;6620;;RAST TEST ALERGENOS: AZAFRÁN
ALERGIAS;6621;;RAST TEST ALERGENOS: AZITROMIZINA
ALERGIAS;6622;;RAST TEST ALERGENOS: AZUCAR DE CAÑA
ALERGIAS;6623;;RAST TEST ALERGENOS: BACALAO
ALERGIAS;6624;;RAST TEST ALERGENOS: BAGRE 
ALERGIAS;6625;;RAST TEST ALERGENOS: BANANO, GUINEO
ALERGIAS;6626;;RAST TEST ALERGENOS: BETA-LACTOGLOBULINA
ALERGIAS;6627;;RAST TEST ALERGENOS: BLATTA GERMÁNICA INSECTOS
ALERGIAS;6628;;RAST TEST ALERGENOS: BLOMIA TROPICALIS
ALERGIAS;6629;;RAST TEST ALERGENOS: BRÓCOLI
ALERGIAS;6630;;RAST TEST ALERGENOS: CACAHUATE (MANI)
ALERGIAS;6631;;RAST TEST ALERGENOS: CACAO
ALERGIAS;6632;;RAST TEST ALERGENOS: CAFÉ
ALERGIAS;6633;;RAST TEST ALERGENOS: CALAMAR
ALERGIAS;6634;;RAST TEST ALERGENOS: CAMARÓN
ALERGIAS;6635;;RAST TEST ALERGENOS: CANDIDA
ALERGIAS;6636;;RAST TEST ALERGENOS: CANELA
ALERGIAS;6637;;RAST TEST ALERGENOS: CANGREJO DE MAR
ALERGIAS;6638;;RAST TEST ALERGENOS: CARACOL
ALERGIAS;6639;;RAST TEST ALERGENOS: CARNE DE CERDO
ALERGIAS;6640;;RAST TEST ALERGENOS: CARNE DE POLLO
ALERGIAS;6641;;RAST TEST ALERGENOS: CARNE DE RES
ALERGIAS;6642;;RAST TEST ALERGENOS: CASEINA
ALERGIAS;6643;;RAST TEST ALERGENOS: CASPA DE CABALLO
ALERGIAS;6644;;RAST TEST ALERGENOS: CASPA DE PERRO
ALERGIAS;6645;;RAST TEST ALERGENOS: CASPA DE VACA
ALERGIAS;6646;;RAST TEST ALERGENOS: CASTAÑA
ALERGIAS;6647;;RAST TEST ALERGENOS: CEBADA
ALERGIAS;6648;;RAST TEST ALERGENOS: CEBOLLA
ALERGIAS;6649;;RAST TEST ALERGENOS: CEFALEXINA
ALERGIAS;6651;;RAST TEST ALERGENOS: CENTENO
ALERGIAS;6652;;RAST TEST ALERGENOS: CEPHALOSPORIUM
ALERGIAS;6653;;RAST TEST ALERGENOS: CEREZA
ALERGIAS;6654;;RAST TEST ALERGENOS: CHAMPIÑONES
ALERGIAS;6655;;RAST TEST ALERGENOS: CHENOPODIUM ALBUM (CENIZO) PÓLENES PLANTAS
ALERGIAS;6656;;RAST TEST ALERGENOS: CHOCOLATE
ALERGIAS;6657;;RAST TEST ALERGENOS: CIPROFLOXACINA
ALERGIAS;6658;;RAST TEST ALERGENOS: CIRUELA
ALERGIAS;6659;;RAST TEST ALERGENOS: CLADOSPORIUM
ALERGIAS;6660;;RAST TEST ALERGENOS: CLARA DE HUEVO
ALERGIAS;6661;;RAST TEST ALERGENOS: CLINDAMICINA
ALERGIAS;6662;;RAST TEST ALERGENOS: COCO
ALERGIAS;6663;;RAST TEST ALERGENOS: COLIFLOR
ALERGIAS;6664;;RAST TEST ALERGENOS: COLORANTE AMARILLO PARA ALIMENTOS (TARTRAZINA)
ALERGIAS;6665;;RAST TEST ALERGENOS: COLORANTES ROJOS
ALERGIAS;6666;;RAST TEST ALERGENOS: CUCARACHA
ALERGIAS;6667;;RAST TEST ALERGENOS: CULEX PIPIENS (MOSQUITO)
ALERGIAS;6668;;RAST TEST ALERGENOS: CUPRESSUS ARIZONICA (CIPRES) ARBOLES Y ARBUSTOS
ALERGIAS;6669;;RAST TEST ALERGENOS: CUPRESSUS SEMPERVIRENS
ALERGIAS;6670;;RAST TEST ALERGENOS: CYAMOPSIS TETRAGONOLOBUS (GUAR)
ALERGIAS;6671;;RAST TEST ALERGENOS: DACTYLIS GLOMERATA POLENES GRAMINEAS 
ALERGIAS;6672;;RAST TEST ALERGENOS: DERMATOPHAGOIDES MICROCERAS
ALERGIAS;6673;;RAST TEST ALERGENOS: DICLOFENACO (VOLTAREN) 
ALERGIAS;6674;;RAST TEST ALERGENOS: DIENTE DE LEÓN
ALERGIAS;6675;;RAST TEST ALERGENOS: DURAZNO
ALERGIAS;6676;;RAST TEST ALERGENOS: EPITELIO DE COBAYA
ALERGIAS;6677;;RAST TEST ALERGENOS: EPITELIO DE CONEJO
ALERGIAS;6678;;RAST TEST ALERGENOS: EPITELIO DE GATO
ALERGIAS;6679;;RAST TEST ALERGENOS: EPITELIO DE HAMSTER
ALERGIAS;6680;;RAST TEST ALERGENOS: EPITELIO DE OVEJA
ALERGIAS;6681;;RAST TEST ALERGENOS: EPITELIO DE RATÓN
ALERGIAS;6682;;RAST TEST ALERGENOS: ESPECIFICOS A  POLENES ARBOLES Y ARBUSTOS
ALERGIAS;6683;;RAST TEST ALERGENOS: ESPECIFICOS A POA PRATENSIS (POA DE LOS PRADOS) POLENES GRAMINEAS
ALERGIAS;6684;;RAST TEST ALERGENOS: ESPINACA
ALERGIAS;6685;;RAST TEST ALERGENOS: EUCALYPTUS
ALERGIAS;6686;;RAST TEST ALERGENOS: EUROGLYPHUS MAYNEI
ALERGIAS;6687;;RAST TEST ALERGENOS: EXTRACTO DE COCHINILLA
ALERGIAS;6688;;RAST TEST ALERGENOS: FRAMBUESA
ALERGIAS;6689;;RAST TEST ALERGENOS: FRESA
ALERGIAS;6690;;RAST TEST ALERGENOS: FRIJOL
ALERGIAS;6691;;RAST TEST ALERGENOS: FUSARIUM
ALERGIAS;6692;;RAST TEST ALERGENOS: GARBANZO
ALERGIAS;6693;;RAST TEST ALERGENOS: GLUTAMATO MONOSÓDICO (GMS)
ALERGIAS;6694;;RAST TEST ALERGENOS: GLUTEN
ALERGIAS;6695;;RAST TEST ALERGENOS: GOMA ARÁBIGA
ALERGIAS;6696;;RAST TEST ALERGENOS: GOMA DULCE
ALERGIAS;6697;;RAST TEST ALERGENOS: GRAMA
ALERGIAS;6698;;RAST TEST ALERGENOS: GRAMA PRADERA AZUL KENTOCTUCKY
ALERGIAS;6699;;RAST TEST ALERGENOS: GUANO DE PALOMA
ALERGIAS;6700;;RAST TEST ALERGENOS: GUAYABA
ALERGIAS;6701;;RAST TEST ALERGENOS: HABICHUELA
ALERGIAS;6702;;RAST TEST ALERGENOS: HIERBA TIMOTEA ARTEMISIA, LLANTEN, PARIETARIA Y ADEDUL
ALERGIAS;6703;;RAST TEST ALERGENOS: HONGOS: LEVADURAS Y MOHOS
ALERGIAS;6704;;RAST TEST ALERGENOS: HORMIGA
ALERGIAS;6705;;RAST TEST ALERGENOS: HORMIGA DE FUEGO
ALERGIAS;6706;;RAST TEST ALERGENOS: IBUPROFENO
ALERGIAS;6707;;RAST TEST ALERGENOS: KIWI
ALERGIAS;6708;;RAST TEST ALERGENOS: LANA DE OVEJA
ALERGIAS;6709;;RAST TEST ALERGENOS: LANGOSTA
ALERGIAS;6710;;RAST TEST ALERGENOS: LATEX
ALERGIAS;6711;;RAST TEST ALERGENOS: LECHE
ALERGIAS;6712;;RAST TEST ALERGENOS: LECHUGA
ALERGIAS;6713;;RAST TEST ALERGENOS: LENGUADO
ALERGIAS;6714;;RAST TEST ALERGENOS: LENTEJAS
ALERGIAS;6715;;RAST TEST ALERGENOS: LEPIDOGLYPHUS DESTRUCTOR
ALERGIAS;6716;;RAST TEST ALERGENOS: LEVADURA DE PAN
ALERGIAS;6717;;RAST TEST ALERGENOS: LIDOCAINA
ALERGIAS;6718;;RAST TEST ALERGENOS: LIMA
ALERGIAS;6719;;RAST TEST ALERGENOS: LIMÓN
ALERGIAS;6720;;RAST TEST ALERGENOS: LINAZA
ALERGIAS;6721;;RAST TEST ALERGENOS: LISOZIMA
ALERGIAS;6722;;RAST TEST ALERGENOS: LOLIUM PERENNE - POLENES GRAMINEAS
ALERGIAS;6723;;RAST TEST ALERGENOS: LUBINA, ROBALO (DICENTRARCHUS LABRAX)
ALERGIAS;6724;;RAST TEST ALERGENOS: MAIZ
ALERGIAS;6725;;RAST TEST ALERGENOS: MANDARINA
ALERGIAS;6726;;RAST TEST ALERGENOS: MANGO
ALERGIAS;6727;;RAST TEST ALERGENOS: MANI
ALERGIAS;6728;;RAST TEST ALERGENOS: MANZANA
ALERGIAS;6729;;RAST TEST ALERGENOS: MARACUYA
ALERGIAS;6730;;RAST TEST ALERGENOS: MARISCOS
ALERGIAS;6731;;RAST TEST ALERGENOS: MELOCOTON 
ALERGIAS;6732;;RAST TEST ALERGENOS: MELÓN
ALERGIAS;6733;;RAST TEST ALERGENOS: MENTA
ALERGIAS;6734;;RAST TEST ALERGENOS: MERLUZA
ALERGIAS;6735;;RAST TEST ALERGENOS: MEZCLA DE CEREALES (AVENA, CENTENO, TRIGO, MAÍZ)
ALERGIAS;6736;;RAST TEST ALERGENOS: MEZCLA DE FRUTAS (PERAS, LIMÓN, FRESA, PIÑA)
ALERGIAS;6737;;RAST TEST ALERGENOS: MEZCLA DE LEVADURAS Y MOHOS
ALERGIAS;6738;;RAST TEST ALERGENOS: MEZCLA DE PESCADO (ATUN, BACALAO, GAMBA, MEJILLON, SALMON)
ALERGIAS;6739;;RAST TEST ALERGENOS: MIEL
ALERGIAS;6740;;RAST TEST ALERGENOS: MOHO MIXTO
ALERGIAS;6741;;RAST TEST ALERGENOS: MORA
ALERGIAS;6742;;RAST TEST ALERGENOS: MORFINA
ALERGIAS;6743;;RAST TEST ALERGENOS: MOSQUITO 
ALERGIAS;6744;;RAST TEST ALERGENOS: MOSTAZA
ALERGIAS;6745;;RAST TEST ALERGENOS: MUCOR RACEMOSUS
ALERGIAS;6746;;RAST TEST ALERGENOS: NAPROXENO
ALERGIAS;6747;;RAST TEST ALERGENOS: NARANJA
ALERGIAS;6748;;RAST TEST ALERGENOS: NUEZ
ALERGIAS;6749;;RAST TEST ALERGENOS: NUEZ DEL BRAZIL 
ALERGIAS;6750;;RAST TEST ALERGENOS: NUEZ MACADAMIA
ALERGIAS;6751;;RAST TEST ALERGENOS: NUEZ, ALMENDRA, NOGALES Y COCO
ALERGIAS;6752;;RAST TEST ALERGENOS: ORÉGANO
ALERGIAS;6753;;RAST TEST ALERGENOS: OSTRA
ALERGIAS;6754;;RAST TEST ALERGENOS: OVALBUMINA
ALERGIAS;6755;;RAST TEST ALERGENOS: OVOMUCOIDE
ALERGIAS;6756;;RAST TEST ALERGENOS: PAPAYA
ALERGIAS;6757;;RAST TEST ALERGENOS: PARGO ROJO
ALERGIAS;6758;;RAST TEST ALERGENOS: PARIETARIA
ALERGIAS;6759;;RAST TEST ALERGENOS: PARVALBUMINA DE PESCADO
ALERGIAS;6760;;RAST TEST ALERGENOS: PASTO
ALERGIAS;6761;;RAST TEST ALERGENOS: PASTO JUNQUILLO COMÚN
ALERGIAS;6762;;RAST TEST ALERGENOS: PATATA
ALERGIAS;6763;;RAST TEST ALERGENOS: PATILLA
ALERGIAS;6764;;RAST TEST ALERGENOS: PENICILINA G (VÍA INTRAVENOSA)
ALERGIAS;6765;;RAST TEST ALERGENOS: PENICILINA V (VÍA ORAL)
ALERGIAS;6766;;RAST TEST ALERGENOS: PENICILIUM
ALERGIAS;6767;;RAST TEST ALERGENOS: PERA
ALERGIAS;6768;;RAST TEST ALERGENOS: PEREJIL
ALERGIAS;6769;;RAST TEST ALERGENOS: PESCADO
ALERGIAS;6770;;RAST TEST ALERGENOS: PESCADO PANGA (PANGASIANODON HYPOPHTHAL)
ALERGIAS;6771;;RAST TEST ALERGENOS: PIMENTÓN
ALERGIAS;6772;;RAST TEST ALERGENOS: PINO
ALERGIAS;6773;;RAST TEST ALERGENOS: PIÑA
ALERGIAS;6774;;RAST TEST ALERGENOS: PISTACHO
ALERGIAS;6775;;RAST TEST ALERGENOS: PLUMA DE GANSO
ALERGIAS;6776;;RAST TEST ALERGENOS: PLUMA DE PALOMA
ALERGIAS;6777;;RAST TEST ALERGENOS: PLUMA DE POLLO
ALERGIAS;6778;;RAST TEST ALERGENOS: PLUMAS DE CACATUA
ALERGIAS;6779;;RAST TEST ALERGENOS: PÓLEN
ALERGIAS;6780;;RAST TEST ALERGENOS: POLEN DE GIRASOL
ALERGIAS;6781;;RAST TEST ALERGENOS: POLEN DE PASTO THIMOTY 
ALERGIAS;6782;;RAST TEST ALERGENOS: POLLO
ALERGIAS;6783;;RAST TEST ALERGENOS: POLVO
ALERGIAS;6784;;RAST TEST ALERGENOS: PREDNISOLONA
ALERGIAS;6785;;RAST TEST ALERGENOS: PROFILINA, HIERBA TIMOTEA RECOMBINANTE
ALERGIAS;6787;;RAST TEST ALERGENOS: PULPO
ALERGIAS;6788;;RAST TEST ALERGENOS: QUESO CHEDDAR
ALERGIAS;6789;;RAST TEST ALERGENOS: QUESO FERMENTADO
ALERGIAS;6790;;RAST TEST ALERGENOS: QUIMOPAPAINA
ALERGIAS;6791;;RAST TEST ALERGENOS: RAPI M 1 FOSFOLIPASA A2 - APIS MELLIFERA
ALERGIAS;6792;;RAST TEST ALERGENOS: REMOLACHA
ALERGIAS;6793;;RAST TEST ALERGENOS: REPOLLO (COL)
ALERGIAS;6794;;RAST TEST ALERGENOS: RHIZOPUS NIGRICANS
ALERGIAS;6795;;RAST TEST ALERGENOS: ROBLE
ALERGIAS;6796;;RAST TEST ALERGENOS: ROSA
ALERGIAS;6797;;RAST TEST ALERGENOS: RTRI A 14 LTP TRIGO 
ALERGIAS;6798;;"RAST TEST ALERGENOS: RTRI A 19; OMEGA-5 GLIADINA (RECOMBINANTE)"
ALERGIAS;6799;;RAST TEST ALERGENOS: SACAROSA
ALERGIAS;6800;;RAST TEST ALERGENOS: SALMÓN
ALERGIAS;6801;;RAST TEST ALERGENOS: SANDIA
ALERGIAS;6802;;RAST TEST ALERGENOS: SARDINA
ALERGIAS;6803;;RAST TEST ALERGENOS: SAUCE
ALERGIAS;6804;;RAST TEST ALERGENOS: SEMILLA DE SÉSAMO
ALERGIAS;6805;;RAST TEST ALERGENOS: SOYA
ALERGIAS;6806;;RAST TEST ALERGENOS: SULFAMIDAS (SULFAMETOXAZOL)
ALERGIAS;6807;;RAST TEST ALERGENOS: SULFITO SÓDICO
ALERGIAS;6808;;RAST TEST ALERGENOS: TERNERA
ALERGIAS;6809;;RAST TEST ALERGENOS: TIAMINA
ALERGIAS;6810;;RAST TEST ALERGENOS: TILAPIA
ALERGIAS;6811;;RAST TEST ALERGENOS: TOMATE
ALERGIAS;6812;;RAST TEST ALERGENOS: TORONJA
ALERGIAS;6813;;RAST TEST ALERGENOS: TRIGO
ALERGIAS;6814;;RAST TEST ALERGENOS: TRIMETOPRIM
ALERGIAS;6815;;RAST TEST ALERGENOS: TRUCHA
ALERGIAS;6816;;RAST TEST ALERGENOS: TYROPHAGUS PUTRESCENTIAE  ACAROS
ALERGIAS;6817;;RAST TEST ALERGENOS: UVA
ALERGIAS;6818;;RAST TEST ALERGENOS: VENENO AVISPA AMARILLA
ALERGIAS;6819;;RAST TEST ALERGENOS: VENENO DE ABEJA
ALERGIAS;6820;;RAST TEST ALERGENOS: VENENO DE ABEJORRO (BOMBUS TERRESTRIS)
ALERGIAS;6821;;RAST TEST ALERGENOS: VENENO DE AVISPA
ALERGIAS;6822;;RAST TEST ALERGENOS: YEMA DE HUEVO
ALERGIAS;6823;;RAST TEST ALERGENOS: YODO
ALERGIAS;6824;;RAST TEST ALERGENOS: ZANAHORIA
ALERGIAS;297;;REPOLLO
ALERGIAS;298;;RES
ALERGIAS;310;;TE
ALERGIAS;1519;;TOLERANCIA A LA INSULINA
ALERGIAS;296;;TOMATE
ALERGIAS;294;;TORONJAS
ALERGIAS;271;;TRIGO
ALERGIAS;269;;TRIGO DURO
ALERGIAS;1755;;TRIPSINA FECAL
ALERGIAS;283;;ZANAHORIA
AUTOINMUNO;376;;AC. ANTICELULAS PARIETALES
AUTOINMUNO;396;;AC. ANTI-DNP
AUTOINMUNO;397;;AC. ANTI-SMITH
AUTOINMUNO;2395;;ACETIL COLINA ANTIRECEPTORES, ANTICUERPOS, TAMIZAJE
AUTOINMUNO;2392;;ACTIN F. IGA, ANTIC.
AUTOINMUNO;2393;;ACTIN IGG
AUTOINMUNO;373;;AMA-M2
AUTOINMUNO;429;;ANA DETECT
AUTOINMUNO;17247;;ANA POR WESTERN BLOT 
AUTOINMUNO;2398;;ANCA C Y P -IF, ANTIC.
AUTOINMUNO;2391;;ANCA C-P
AUTOINMUNO;389;;ANCA-C (ANTI-PR3)
AUTOINMUNO;388;;ANCA-P (ANTI-MPO)
AUTOINMUNO;398;;ANTI -HISTONA
AUTOINMUNO;390;;ANTI JO-1
AUTOINMUNO;379;;ANTI MIELOPEROXIDASA -ANCA P
AUTOINMUNO;378;;ANTI PR3 ANCAC
AUTOINMUNO;410;;ANTI -TRANSGLUTAMINASA SCREEN
AUTOINMUNO;370;;ANTIC.  ANTIMITOCONDRIAL (AMA -M2)
AUTOINMUNO;399;;ANTIC. ANTIMITOCONDRIAL (AMA) IFI
AUTOINMUNO;401;;ANTIC. ANTIMUSCULO LISO (ASMA) IFI
AUTOINMUNO;380;;ANTIC. CITOPLASMATICO ANTINEUTROFILO/ ANCA C
AUTOINMUNO;407;;ANTI-CELULAS DE LOS ISLOTES
AUTOINMUNO;400;;ANTI-CENTROMERO (CENP-B)
AUTOINMUNO;434;;ANTICUERPOS ANTI MUSCULO ESTRIADO
AUTOINMUNO;411;;ANTICUERPOS LKM1
AUTOINMUNO;428;;ANTI-DSDNA IGG
AUTOINMUNO;433;;ANTIGENO HEPATICO SOLUBLE
AUTOINMUNO;402;;ANTI-NUCLEOSOMA (NCL)
AUTOINMUNO;413;;ANTI-SS-B
AUTOINMUNO;416;;BETA 2 GLICOPROTEINA I IGA
AUTOINMUNO;375;;CERULOPLASMINA
AUTOINMUNO;412;;F-ACTINA
AUTOINMUNO;426;;FACTOR INTRINSICO
AUTOINMUNO;368;;FOSFOLIPIDOS ANTICUERPOS IGG
AUTOINMUNO;367;;FOSFOLIPIDOS ANTICUERPOS IGM
AUTOINMUNO;432;;GP210
AUTOINMUNO;2390;;HISTONAS, ANTIC.
AUTOINMUNO;369;;JO 1
AUTOINMUNO;2387;;JO, ANTIC
AUTOINMUNO;2388;;LA-SSB, ANTIC
AUTOINMUNO;409;;LC1
AUTOINMUNO;404;;MICROSOMALES AUTOANTICUERPOS (LKM1)
AUTOINMUNO;371;;MIOSINA
AUTOINMUNO;392;;RIBOSOMA FOSFOPROTEINA (RIB-P)
AUTOINMUNO;408;;RNP, ANTICUERPO IGG (RUBONUCLEOPROTEINA)
AUTOINMUNO;2389;;RO - SSA, ANTIC.
AUTOINMUNO;391;;SCLERO 70, ANTIC
AUTOINMUNO;403;;SLA AG.HEPATICO SOLUBLE
AUTOINMUNO;405;;SS-A (RO) ANTICUERPOS IGG
AUTOINMUNO;414;;SS-A52
AUTOINMUNO;387;;SS-A60
AUTOINMUNO;406;;SS-B (LA) ANTICUERPOS IGG
BANCO DE SANGRE;7971; ;PLAQUETAS POR AFERESIS
BIOLOGIA MOLECULAR;5078;;ACIDEMIA GLUTÁRICA TIPO 1  - GEN GCDH - SECUENCIACION COMPLETA.
BIOLOGIA MOLECULAR;5080;;ACIDEMIA METILMALONICA - GEN MMAA -  SECUENCIACION COMPLETA.
BIOLOGIA MOLECULAR;5084;;ACIDO ASCORBICO EN LIQUIDO SEMINAL
BIOLOGIA MOLECULAR;5085;;ACIDO CITRICO EN LIQUIDO SEMINAL
BIOLOGIA MOLECULAR;5086;;ACIDO DELTA AMINOLEVULINICO (ALA)
BIOLOGIA MOLECULAR;5121;;ACIDOSIS TUBULAR RENAL DISTAL AUTOSÓMICA DOMINANTE - GEN SLC4A1 - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5123;;ACIDURIA 2-HIDROXIGLUTARICA – GEN D2HGDH - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5126;;ACONDROPLASIA – GEN FGFR3 - SECUENCIACION COMPLETA
BIOLOGIA MOLECULAR;5135;;ADENOVIRUS CARGA VIRAL
BIOLOGIA MOLECULAR;5136;;ADENOVIRUS DNA DETECTOR
BIOLOGIA MOLECULAR;5137;;ADENOVIRUS DNA DETECTOR (MUESTRA RESPIRATORIA)
BIOLOGIA MOLECULAR;5143;;ADRENOLEUCODISTROFIA - GEN  ABCD1 -  MLPA
BIOLOGIA MOLECULAR;5146;;ALAGILLE SINDROME - 2 GENES: JAG1, NOTCH2
BIOLOGIA MOLECULAR;5158;;ALFA 1 ANTITRIPSINA: FENOTIPO
BIOLOGIA MOLECULAR;5159;;ALFA 1 ANTITRIPSINA: MUTACION
BIOLOGIA MOLECULAR;5171;;ALPORT SINDROME - 3 GENES: COL4A3, COL4A4, COL4A5
BIOLOGIA MOLECULAR;5177;;ALZHEIMER ENFERMEDAD - 4 GENES: APOE, APP, PSEN1, PSEN2. 
BIOLOGIA MOLECULAR;5178;;AMEBA HISTOLITICA  DNA DETECCION 
