id;.id;default_code;name;categ_id/name;categ_id/display_name;standard_price;price;list_price;lst_price;default_code
__export__.product_template_28604;115587;3183688122; ALB BCG Gen.2, 300Tests, cobas c, Int. ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;31.2875;0;82.8;82.8;3183688122
__export__.product_template_28704;115588;5166861190; ALB BCG Gen.2, 750Tests cobas c701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;113.4;0;1;1;5166861190
__export__.product_template_28812;115589;5401500190; ALB-T 200T cobas c111 ;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;0.01;0;1;1;5401500190
__export__.product_template_28774;115590;4469658190; ALB-T TQ Gen.2, 100Tests, cobas c, Int.;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;113.8;0;330.05;330.05;4469658190
__export__.product_template_28605;115593;3333752190; ALP IFCC Gen.2 S, 200T, cobas c, Int. ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;40.3;0;70.15;70.15;3333752190
__export__.product_template_28657;116498;4657373190; ALP IFCC Gen.2, 200T, cobas c111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;69.67;0;123.05;123.05;4657373190
__export__.product_template_28699;115594;5850797190; ALT 1100Tests cobas c 701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;221.76;0;1;1;5850797190
__export__.product_template_28658;115597;4718569190; ALT 400T cobas c 111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;66.95;0;118.45;118.45;4718569190
__export__.product_template_28606;115598;20764957322; ALTL,  500Tests, cobas c, Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;82.2606383;0;244.8;244.8;20764957322
__export__.product_template_28608;115599;3183742122; AMYL Gen.2, 300Tests, cobas c, Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;128.7;0;390;390;3183742122
__export__.product_template_28708;115600;5167027190; AMYL Gen.2, 750Tests cobas c701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;230.71;0;1;1;5167027190
__export__.product_template_28767;115614;4489403190; ASLO TQ, 150Tests, cobas c ;CC HIA Reagents cobas;All / INMUNOLOGIA / CC HIA Reagents cobas;222.7128571;0;440.45;440.45;4489403190
__export__.product_template_30003;115656;11706802001; ASSAY CUP ELECSYS2010           CUU 2010 ;IM cobas e / Elecsys Instruments;All / INMUNOLOGIA / IM cobas e / Elecsys Instruments;79.14461539;0;238.05;238.05;11706802001
__export__.product_template_30004;115659;11706799001; ASSAY TIP ELECSYS 2010  CUU ;IM cobas e / Elecsys Instruments;All / INMUNOLOGIA / IM cobas e / Elecsys Instruments;141.7;0;250.7;250.7;11706799001
__export__.product_template_28701;115615;5850819190; AST 1100Tests cobas c 701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;221.76;0;1;1;5850819190
__export__.product_template_28659;115616;4657543190; AST 400T cobas c 111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;65;0;100;100;4657543190
__export__.product_template_31568;112843;11418262171; Accutrend Cholesterol  25 Str. ;Accutrend Reagents;All / BIOQUIMICA / Accutrend Reagents;35.75;0;63.25;63.25;11418262171
__export__.product_template_31565;115592;5050472023; Accutrend Plus Kit mg/dl ;Accutrend Instruments;All / BIOQUIMICA / Accutrend Instruments;224.25;0;396.75;396.75;5050472023
__export__.product_template_31569;115585;11538144016; Accutrend TG 25 Str. ;Accutrend Reagents;All / BIOQUIMICA / Accutrend Reagents;35.75;0;63.25;63.25;11538144016
__export__.product_template_28602;103714;4880307190; Acid wash Solution 2x1,8 L ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;87.17222222;0;163.3;163.3;4880307190
__export__.product_template_28603;103708;4663632190; Activator for cobas c,Integra,c111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;88.84;0;178.25;178.25;4663632190
__export__.product_template_28656;115591;4657357190; Albumin BCG 400T Cobas C111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;55.25;0;97.75;97.75;4657357190
__export__.product_template_28536;115628;20752401190; Ammonia/Ethanol/CO2 Control N ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;134.55;0;232.88;232.88;20752401190
__export__.product_template_29699;115604;5031656190; Anti-CCP Elecsys, cobas e ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;1;0;632.5;632.5;5031656190
__export__.product_template_29911;115609;6427405190; Anti-HCV G2 Elecsys cobas e 200 ;Infectious Diseases Reagents;All / INMUNOLOGIA / Infectious Diseases Reagents;360.245;0;1;1;6427405190
__export__.product_template_29779;115643;6368697190; Anti-TG Elecsys cobas e 100 V4 ;Thyroid Reagents;All / INMUNOLOGIA / Thyroid Reagents;0.01;0;924.6;924.6;6368697190
__export__.product_template_29781;115611;6472931190; Anti-TPO CS Elecsys ;Thyroid Reagents;All / INMUNOLOGIA / Thyroid Reagents;139.87;0;1;1;6472931190
__export__.product_template_29778;115613;6368590190; Anti-TPO Elecsys cobas e 100 V3 ;Thyroid Reagents;All / INMUNOLOGIA / Thyroid Reagents;304.08;0;611.8;611.8;6368590190
__export__.product_template_30011;115658;12102137001; Assay Tip/Cup Elecsys ModularE170 ;IM cobas e / Elecsys Instruments;All / INMUNOLOGIA / IM cobas e / Elecsys Instruments;135;0;1;1;12102137001
__export__.product_template_29305;115689;4793099001 ELIM; BEARING ROTOR ASSY ;Clin. Chem. Systems Support;All / REPUESTOS / Clin. Chem. Systems Support;321.75;0;1;1;4793099001 ELIM
__export__.product_template_28686;115620;5589134190; BIL-D Gen.2, 100Tests, cobas c 111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;37.7;0;58;58;5589134190
__export__.product_template_28689;115621;5589061190; BIL-D Gen.2, 350Tests cobas c, Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;93.6;0;166.75;166.75;5589061190
__export__.product_template_28703;115622;5168384190; BIL-D Gen.2, 500Tests cobas c 701,702 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;100.8;0;1;1;5168384190
__export__.product_template_28723;115623;5795397190; BIL-T Gen.3, 250Tests cobas c,Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;43.55;0;77.05;77.05;5795397190
__export__.product_template_28722;115624;5795648190; BIL-T Gen.3, 400Tests cobas c 111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;50.7;0;70.15;70.15;5795648190
__export__.product_template_28711;115625;5795419190; BIL-T Gen.3, 600Tests cobas c 701,702 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;120.96;0;1;1;5795419190
__export__.product_template_31572;115626;3012654370; BM-Lactate 25 Str. ;Accutrend Reagents;All / BIOQUIMICA / Accutrend Reagents;55.25;0;97.75;97.75;3012654370
__export__.product_template_29507;115703;7268564001; BUBBLE TRAP COMPL. ;Clin. Chem. Systems Support;All / REPUESTOS / Clin. Chem. Systems Support;0.01;0;1;1;7268564001
__export__.product_template_31255;115667;5870020001; Barcode Label 2,7x5,7cm ;Total Lab Automation (TLA);All / INSUMOS / Total Lab Automation (TLA);7.0037234;0;12.65;12.65;5870020001
__export__.product_template_27129;115668;6919235001; Barcode Scanner Unitech MS180 ;Urinalysis Instruments;All / INSUMOS / Urinalysis Instruments;0.01;0;1;1;6919235001
__export__.product_template_123496_0e564ddc;123496;1305990002; Biossays Acid Wash (BC1200, BC2200, Biolumi 8000, Biossays 240  Plus/1 ×500 g);CONSUMIBLE;All / BIOQUIMICA / CONSUMIBLE;0;0;1;1;1305990002
__export__.product_template_123498_4f99843a;123498;1305990008; Biossays Acid Wash (BC1200, BC2200, Biolumi 8000, Biossays C8,  Biolumi CX8/2 ×60 g);CONSUMIBLE;All / BIOQUIMICA / CONSUMIBLE;0;0;1;1;1305990008
__export__.product_template_123499_f3161d50;123499;1305990007; Biossays Acid Wash (Biossays 240 Plus/2 ×40 g);CONSUMIBLE;All / BIOQUIMICA / CONSUMIBLE;0;0;1;1;1305990007
__export__.product_template_123495_f19ec92e;123495;1305990006; Biossays Acid Wash (Biossays C8, Biolumi CX8/ 1 ×2000 g);CONSUMIBLE;All / BIOQUIMICA / CONSUMIBLE;0;0;1;1;1305990006
__export__.product_template_28538;103783;11447394216; C.f.a.s.-CK-MB 3x1 ml ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;30.14;0;87.4;87.4;11447394216
__export__.product_template_28775;115630;3001938322; C3c, 100Tests, cobas c, Integra ;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;1;0;353.05;353.05;3001938322
__export__.product_template_28776;115631;3001962322; C4, 100Tests, cobas c, Integra ;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;140.28;0;355.35;355.35;3001962322
__export__.product_template_29828;103776;7030207190; CA 125 G2 CS G2 Elecsys ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;122.85;0;217.35;217.35;7030207190
__export__.product_template_29827;115633;11776223190; CA 125 G2 Elecsys cobas e 100 ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;378.3;0;690;690;11776223190
__export__.product_template_29803;115634;11776193122; CA 19-9 Elecsys cobas e 100 ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;357.1;0;699.2;699.2;11776193122
__export__.product_template_32325;103691;3110354180; CA++ ELECTRODE ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;1;0;1;1;3110354180
__export__.product_template_28690;115635;5061482190; CA, Gen.2, 300Tests, cobas c,Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;59.248;0;353.05;353.05;5061482190
__export__.product_template_28691;115636;5061504190; CA, Gen.2, 400Tests, cobas c111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;109.85;0;198.82;198.82;5061504190
__export__.product_template_33837;115719;CMO00039; CAJAS MONO PETRI;CONSUMIBLE;All / MICROBIOLOGIA / CONSUMIBLE;1.19;0;0;0;CMO00039
__export__.product_template_32326;103777;3144046001; CALIBRATION SOLUTION C1 ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;199.55;0;1;1;3144046001
__export__.product_template_32327;103778;3144020001; CALIBRATION SOLUTION C2 ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;199.55;0;1;1;3144020001
__export__.product_template_29670;115737;5127726001; CAP SUCTION ASSY WATER CONT. 3.2L ;Clin. Chem. Systems Support;All / REPUESTOS / Clin. Chem. Systems Support;216.75;0;1;1;5127726001
__export__.product_template_29798;115638;11731629322; CEA Elecsys,cobas e ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;175.79375;0;328.9;328.9;11731629322
__export__.product_template_28065;115753;5267188001; CELL MARQUE REAGENT, ALPHA-FETOPROTEIN ;Benchmark Primary Antibodies;All / INMUNOLOGIA / Benchmark Primary Antibodies;0.01;0;295.55;295.55;5267188001
__export__.product_template_30319;115640;3145611001; CELLPACK 20L ;HE Reagents;All / HEMATOLOGIA / HE Reagents;164.45;0;430.1;430.1;3145611001
__export__.product_template_121452_326d11eb;121452;9426752001; CELLPACK DFL;HE Reagents;All / HEMATOLOGIA / HE Reagents;0.1;0;117.3;117.3;9426752001
__export__.product_template_28697;115644;5168538190; CHOL HiCo Gen.2, 2100Tests, cobas c701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;0.01;0;1;1;5168538190
__export__.product_template_28614;115645;3039773190; CHOL HiCo Gen.2, 400Tests, cobas c, Int. ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;42.71450981;0;101.2;101.2;3039773190
__export__.product_template_28661;115648;7190794190; CK 200T cobas c;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;66.14;0;121.9;121.9;7190794190
__export__.product_template_28707;115649;5168546190; CK, 800Tests, cobas c701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;208.8;0;1;1;5168546190
__export__.product_template_29993;103788;5957656190; CK-MB STAT CS Elecsys V4 ;Cardiac & Critical Care Reagents;All / BIOQUIMICA / Cardiac & Critical Care Reagents;120.9;0;1;1;5957656190
__export__.product_template_29992;115650;5957648190; CK-MB STAT Elecsys cobas e 100 V4 ;CC Core Reagents cobas;All / INMUNOLOGIA / CC Core Reagents cobas;263.25;0;1;1;5957648190
__export__.product_template_28710;115651;5168562190; CKMB, 600Tests, cobas c 701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;1;0;1;1;5168562190
__export__.product_template_32328;115773;3110451180; CL- ELECTRODE ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;476.45;0;1;1;3110451180
__export__.product_template_32294;115771;3112098035; CLEANING KIT for CL-  ELECTRODE ;BG + E Instruments;All / BIOQUIMICA / BG + E Instruments;23.4;0;1;1;3112098035
__export__.product_template_29844;103716;4784618190; CMV IgM Elecsys,cobas e ;Infectious Diseases Reagents;All / INMUNOLOGIA / Infectious Diseases Reagents;317.2;0;561.2;561.2;4784618190
__export__.product_template_121344_fcb3b0a7;121344;FQCEA-1K0-00; COLORANTE PAPANICOLAU EA50  1LT;ANALITICA;All / INSUMOS / ANALITICA;30;0;1;1;FQCEA-1K0-00
__export__.product_template_32330;115794;3321193001; COMBITROL PLUS B, LEVEL 1, 30 PCS ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;34.53125;0;460;460;3321193001
__export__.product_template_32331;115795;3321207001; COMBITROL PLUS B, LEVEL 2, 30 PCS ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;34.53125;0;460;460;3321207001
__export__.product_template_32332;115796;3321215001; COMBITROL PLUS B, LEVEL 3, 30 PCS ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;34.53125;0;460;460;3321215001
__export__.product_template_33726;115808;COV072020; COVID-19 (SARS-CoV-2) IgM/IgG ANTIBODY TEST KIT;REACTIVO;All / BIOQUIMICA / REACTIVO;21.88;0;1;1;COV072020
__export__.product_template_28695;115677;6407137190; CREAJ Gen.2, 1500Test, cobas c701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;104.87;0;1;1;6407137190
__export__.product_template_28620;115679;4810716190; CREAJ Gen.2, 700Test, cobas c, Integra ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;79.34827586;0;176.8;176.8;4810716190
__export__.product_template_28798;115685;4628918190; CRP LX HS, 300Tests, cobas c, Integra ;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;487.5;0;863.65;863.65;4628918190
__export__.product_template_123754_ba50b0bf;123754;N050321; CUBRE OBJETO 24X50MM X 100 UNDS ;ANALITICA;All / INSUMOS / ANALITICA;1.2;0;1;1;N050321
__export__.product_template_33092;115715;10446530; Caja de Cubetas para Equipo de Coagulación BFT II (500 unidades);ANALITICA;All / INSUMOS / ANALITICA;2.48;0;300;300;10446530
__export__.product_template_28760;115637;5168449190; Calcium Gen.2, 2250Tests, cobas c 701 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;377.52;0;1;1;5168449190
__export__.product_template_28541;103780;11355279216; Calibrator f.a.s.proteins ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;186;0;213.9;213.9;11355279216
__export__.product_template_28151;115754;5269369001; Cell Marque,Renal Cell CArcinoma (PN-15) ;Benchmark Primary Antibodies;All / INMUNOLOGIA / Benchmark Primary Antibodies;0.01;0;313.95;313.95;5269369001
__export__.product_template_28855;115756;4555040001; Cell Set  cobas c 311 ;CC Instruments;All / BIOQUIMICA / CC Instruments;935.35;0;1654.85;1654.85;4555040001
__export__.product_template_28641;103712;4880285190; Cell Wash Solution I/NaOH-D 2x1,8 L ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;83.85;0;148.35;148.35;4880285190
__export__.product_template_30350;103731;6952291001; Cellclean Auto (CCA-500A) 4ml X 20 ;HE Reagents;All / HEMATOLOGIA / HE Reagents;11.7;0;20.7;20.7;6952291001
__export__.product_template_28596;103784;4975901191; Cfas Cystatin C ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;317.85;0;1;1;4975901191
__export__.product_template_28542;103785;4528417190; Cfas HbA1c, 3x2ml ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;293.15;0;518.65;518.65;4528417190
__export__.product_template_28543;103786;12172623122; Cfas Lipids 3x1ML ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;60.45;0;213.9;213.9;12172623122
__export__.product_template_28544;103787;3555941190; Cfas PAC 3x1ML ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;137.8;0;243.8;243.8;3555941190
__export__.product_template_28870;115764;11930630001; Chimney 912/others (2x48pcs)  *HN ;CC Instruments;All / REPUESTOS / CC Instruments;0.01;0;1;1;11930630001
__export__.product_template_28660;115647;4718917190; Cholesterin 400T cobas c 111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;53.95;0;71.59;71.59;4718917190
__export__.product_template_30005;115772;11800507001; Clean liner Elecsys 2010      *IM ;IM cobas e / Elecsys Instruments;All / INMUNOLOGIA / IM cobas e / Elecsys Instruments;39;0;133.4;133.4;11800507001
__export__.product_template_29707;103713;4880293190; CleanCell M 2x2 L Elecsys,cobas e ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;141.7;0;1;1;4880293190
__export__.product_template_28663;103710;4774248190; Cleaner Basisch cobas c111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;46.15;0;81.65;81.65;4774248190
__export__.product_template_28618;115788;20754765322; Cobas Integra Cleaner ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;29.9;0;104.65;104.65;20754765322
__export__.product_template_27131;115673;4510089056; Combur-10-Test 100str. ;Urinalysis Strips / Reagents;All / UROANALISIS / Urinalysis Strips / Reagents;35.1;0;62.6;62.6;4510089056
__export__.product_template_27143;115798;ANCMB-100-00; Combur-10-UX 100 Str. ;Urinalysis Strips / Reagents;All / UROANALISIS / Urinalysis Strips / Reagents;31.5;0;31.5;31.5;ANCMB-100-00
__export__.product_template_28546;115674;20753009190; Control Anormal Etanol Amonio CO2 ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;147.55;0;1;1;20753009190
__export__.product_template_27132;115675;11379194263; Control-Test M (50 Strips);Urinalysis Strips / Reagents;All / UROANALISIS / Urinalysis Strips / Reagents;74.75;0;132.25;132.25;11379194263
__export__.product_template_28547;103796;3005496122; Controlset RF II ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;83.67;0;242.65;242.65;3005496122
__export__.product_template_29769;103797;6687750190; Cortisol G2 CS Elecsys ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;75.55;0;1;1;6687750190
__export__.product_template_29758;115676;6687733190; Cortisol G2 Elecsys cobas e 100 ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;244.92;0;479.55;479.55;6687733190
__export__.product_template_28665;115680;5401755190; Creatinin Jaffe 400T c111 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;48.1;0;59.8;59.8;5401755190
__export__.product_template_28597;103798;6729371190; Cystatin C Control Set Gen.2 ;CC Calibrators / Controls;All / BIOQUIMICA / CC Calibrators / Controls;566.8;0;1;1;6729371190
__export__.product_template_28823;115691;6600239190; Cystatin C TQ Gen.2, 225T, cobas c,INT ;CC HIA Reagents cobas;All / BIOQUIMICA / CC HIA Reagents cobas;833.3;0;1;1;6600239190
__export__.product_template_30287;115692;4912551190; D-Dimer Gen.2, 100Test, cobas c, Integra ;CO Reagents;All / INMUNOLOGIA / CO Reagents;662.9;0;1225.9;1225.9;4912551190
__export__.product_template_28814;115693;5077753190; D-Dimer Gen.2, 200Test, cobas c111 ;CC HIA Reagents cobas;All / INMUNOLOGIA / CC HIA Reagents cobas;0.001;0;1466;1466;5077753190
__export__.product_template_30288;103801;4912497190; D-Dimer Gen.2, Tina-quant a Unisys ;CO Reagents;All / INMUNOLOGIA / CO Reagents;0.01;0;1;1;4912497190
__export__.product_template_122400_f6dc97a3;122400;7713380001; DEGASSER K;Todos;All;1;0;1;1;7713380001
__export__.product_template_32336;103688;3110435180; DEPROTEINIZER COMPLETE             125ML ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;1;0;105.8;105.8;3110435180
__export__.product_template_28801;115694;20737836322; DIGOXIN,  250Tests, cobas c, Integra ;CC HIA Reagents cobas;All / INMUNOLOGIA / CC HIA Reagents cobas;0.01;0;1;1;20737836322
__export__.product_template_32037;115831;5940427001; Dengue Virus Test TIB ;REACTIVO;All / BIOQUIMICA / REACTIVO;0.01;0;1;1;5940427001
__export__.product_template_29999;115835;11820796190; Digoxin Elecsys cobas e 100 V2 ;Cardiac & Critical Care Reagents;All / INMUNOLOGIA / Cardiac & Critical Care Reagents;399.75;0;678.7;678.7;11820796190
__export__.product_template_29746;103725;5192943190; Diluent Universal 2 2x36ml Elecsys ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;1;0;1;1;5192943190
__export__.product_template_29700;115841;11820451122; E 170 CELLCHEK ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;1;0;1;1;11820451122
__export__.product_template_30321;103802;5050383001; E-CHECK XS (5X 1.5ml x Normal and High) ;HE Reagents;All / HEMATOLOGIA / HE Reagents;105.3;0;194.35;194.35;5050383001
__export__.product_template_30170;115874;10888168001; E/M valve UDV-2 704-0304 ;Immunodia. Systems Support;All / INMUNOLOGIA / Immunodia. Systems Support;306.15;0;1;1;10888168001
__export__.product_template_30322;115845;3134466001; EIGHT CHECK-3WP XTRA ( 4 x 2 ml) ;Todos;All;219.75;0;1;1;3134466001
__export__.product_template_29708;115855;3142949122; ELECSYS CONTROLSET VIALS ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;1;0;1;1;3142949122
__export__.product_template_32337;115870;3112306180; ELECTRODE, ISE REFERENCE, 91XX ;BG + E Reagents;All / BIOQUIMICA / BG + E Reagents;477.75;0;735;735;3112306180
__export__.product_template_28693;103720;5422485190; EcoTergent, cobas c311 ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;20.8;0;35.65;35.65;5422485190
__export__.product_template_28714;103803;6544410190; EcoTergent, cobas c501/502, 12x59 ml ;CC Core Reagents cobas;All / BIOQUIMICA / CC Core Reagents cobas;268.45;0;474.95;474.95;6544410190
__export__.product_template_29702;115846;3255751190; Elecsys ACTH ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;818.35;0;1447.85;1447.85;3255751190
__export__.product_template_29703;115847;3255760190; Elecsys ACTH CalSet ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;230.75;0;507.15;507.15;3255760190
__export__.product_template_29705;115853;11729306122; Elecsys BlankCell ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;33.8;0;1;1;11729306122
__export__.product_template_29711;115708;3184897190; Elecsys C-Peptide ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;1;0;523.25;523.25;3184897190
__export__.product_template_29712;103809;3184919190; Elecsys C-Peptide Calset ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;124.8;0;1;1;3184919190
__export__.product_template_29801;115702;3045838122; Elecsys CA 15-3 II ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;210;0;709.55;709.55;3045838122
__export__.product_template_29802;103805;3045846122; Elecsys CA 15-3 II CalSet ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;122.85;0;217.35;217.35;3045846122
__export__.product_template_29804;103806;11776215122; Elecsys CA 19-9 Calset ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;111.01;0;217.35;217.35;11776215122
__export__.product_template_29806;103807;11776274122; Elecsys CA 72-4 Calset ;Oncology Reagents;All / INMUNOLOGIA / Oncology Reagents;180.7;0;354.2;354.2;11776274122
__export__.product_template_29706;115854;11662970122; Elecsys Clean-Cell ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;44.2;0;1;1;11662970122
__export__.product_template_29710;103808;11875124122; Elecsys Cortisol CS ;IM Core Reagents;All / INMUNOLOGIA / IM Core Reagents;0.01;0;1;1;11875124122
__export__.product_template_29918;103811;3000095122; Elecsys DHEAS CalSet ;Women`s Health Reagents;All / INMUNOLOGIA / Women`s Health Reagents;1;0;258.75;258.75;3000095122
