REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR
3737586190; Elecsys Ferritin Calset ;;;;1
1776452122; PreciControl Tumor Marker Elec ;;;;1
9077871190;FT3 G3 CS Elecsys V2;;;;1
8443459190;TSH CS Elecsys V3;;;;1
11820974322;ELECSYS CYFRA calset II;;;;1
7212780190; Vitamin B12 G2 CS Elecsys V2 ;;;;1
11930427122; Elecsys IgE Calset ;;;;1
11731548122; Elecsys T3 Calset ;;;;1
8851964190;"""free PSA CS Elecsys V3	""";;;;1
7560001190; Folate G3 CS Elecsys V2 ;;;;1
3561097190; Elecsys LH CalSet 2.Gen. ;;;;1
5202230190; Testosterone CS Gen.2.1 Elecsys,cobas e ;;;;1
5095107190; Troponin PC Elecsys ;;;;1
7092547190; Progesterone G3 CS Elecsys ;;;;1
5341787190; PreciControl Multimarker Elecsys ;;;;1
3183971122; Universal Diluent 2x36ml Elecsys;;;;1
3737551190; Elecsys Ferritin x100 Gen.2 ;;;;1
4827031190; IgE G2 Elecsys cobas e 100 ;;;;1
9227261190; AFP G2 CS Elecsys V3;;;;1
3302652190; Elecsys HCG+B CalSet II ;;;;1
5912504190; PreciControl HBA1c Path ;;;;1
11355279216; Calibrator f.a.s.proteins ;;;;1
12017717122; Elecsys T4 Calset 2.Generation ;;;;1
5479207190; PreciControl HBA1c Norm ;;;;1
3005496122; Controlset RF II ;;;;1
5618860190;PRECICONTROL VARIA ELECSYS;;;;1
3121305122;C.f.a.s. PUC;;;;1
5572207190;HSV PC ELECSYS;;;;1
11298500316; ISE CLEANING SOLUTION  5x100ml ;;;;1
4663632190; Activator for cobas c,Integra,c111 ;;;;1
5117216190; PreciControl ClinChem Multi 2, 20x5ml ;;;;1
11731416190; PreciControl Universal G.2 Ele ;;;;1
5947626190; PreciControl ClinChem Multi 1, 4x5 ml ;;;;1
5947774190; PreciControl ClinChem Multi 2, 4x5 ml ;;;;1
10759350190;Calibrator f.a.s. 12x3 ml;;;;1
4489357190; NACl 9% Dil, cobas c ;;;;1
3029590322; LIPC, 200Tests, cobas c, Integra ;;;;1
3183696122; IRON Gen.2, 200Tests, cobas c, Integra ;;;;1
11662988122; Elecsys ProCell ;;;;1
11662970122; Elecsys Clean-Cell ;;;;1
4880285190; Cell Wash Solution I/NaOH-D 2x1,8 L ;;;;1
4880307190; Acid wash Solution 2x1,8 L ;;;;1
130299004M;MAGLUMI Starter  1+2 (1Box=2*230ml) SERIE M/X3;;;;1
130299007M;MAGLUMI System Tubing Cleaning Solution(1Box=1Bottle=1*500ml);;;;1
130299005M;MAGLUMI Wash Concentrate 1Box=1x714mL (SERIE M/X3);;;;1
3333825190; TPUC Gen.3, 150Tests, cobas c, IntegraTP ;;;;1
5422485190; EcoTergent, cobas c311 ;;;;1
4810716190; CREAJ Gen.2, 700Test, cobas c, Integra ;;;;1
4489225190; SMS, cobas c ;;;;1
4489241190; NaOH-D, cobas c ;;;;1
3183688122; ALB BCG Gen.2, 300Tests, cobas c, Int. ;;;;1
3183734190; TP Gen.2, 300Tests, cobas c, Integra ;;;;1
5958024190; Sample Cleaner 2, cobas 6000 ;;;;1
4708725190;SAMPLE CLEANER1 Multiclean, cobas c ;;;;1
6544410190; EcoTergent, cobas c501/502, 12x59 ml ;;;;1
4522320190;ISE Int.Stand. Gen.2,  cobas c, Hitachi;;;;1
11360981216;ISE Reference Electrolyte 300ML;;;;1
4522630190; ISE Diluent Gen.2, cobas c, Hitachi ;;;;1
11706802001; ASSAY CUP ELECSYS2010           CUU 2010 ;;;;1
130658004M;MAGLUMI IGA (CLIA) 2G/50 TESTS;;;;1
5117003190;PRECICONTROL CLINCHEM MULTI 1, 20X5ML;;;;1
130656014M;MAGLUMI HS-CTNI (CLIA) 2G/50 TESTS;;;;1
130656001M;MAGLUMI HS-CTNI (CLIA) 2G/50 TESTS;;;;1
130252002M;MAGLUMI LH (CLIA) 2G/100 TESTS;;;;1
130201040M;MAGLUMI CYFRA 21-1 (CLIA) 2G/100 TESTS;;;;1
130251001M;MAGLUMI FERRITIN (CLIA) 2G/100 TESTS;;;;1
130613003M;MAGLUMI EPO (CLIA) 2G/50 TESTS;;;;1
130202516M;MAGLUMI ANDROSTENEDIONE (CLIA) 2G/100 TESTS;;;;1
6481647190;MG GEN.2, 250TESTS, COBAS C;;;;1
4528182190;HBA1C TQ HAEMOLYZING RGT, COBAS C;;;;1
3002721122;GGT GEN.2, 400TESTS, COBAS C, INTEGRA;;;;1
20767107322;TRIGL, 250TESTS, COBAS C, INTEGRA;;;;1
3032566122;APOAT, 100TESTS, COBAS C, INTEGRA;;;;1
3032574122;APOBT, 100TESTS, COBAS C, INTEGRA;;;;1
4498577190;CHE GEN.2, 200TESTS, COBAS C, INTEGRAV;;;;1
7190794190;CK 200T COBAS CROCHE;;;;1
20753009190;CONTROL ANORMAL ETANOL AMONIO CO2;;;;1
20752401190;AMMONIA/ETHANOL/CO2 CONTROL N;;;;1
3121291122;PRECIPATH PROTEINS U;;;;1
12172828322;PRECISET RFROCHE;;;;1
4528417190;CFAS HBA1C, 3X2ML;;;;1
3121313122;PRECINORM PROTEINS U;;;;1
11930346122;ELECSYS SYS WASH;;;;1
4555040001;REACTION CELL 311;;;;1
4854241001;REACTION CELL 501;;;;1
R0018C;HIV AG/AB PRUEBA RAPIDA;;;;1
R1001C;HCG PRUEBA RAPIDA;;;;1
R0187C;INFLU A/B PRUEBA RAPIDA;;;;1
R0063C;DEBGUE AG PRUEBA RAPIDA;;;;1
R0192C;H. PYLORI AG PRUEBA RAPIDA;;;;1
10394246001;SAMPLE CUP;;;;1
40590;PROTEUS OX2;;;;1
40610;PROTEUS OXK;;;;1
2139005;SALMONELLA TYPHI O;;;;1
2135005;SALMONELLA TYPHI H;;;;1
2119005;S. PARATYPHI B-H;;;;1
2113005;S. PARATYPHI A-H;;;;1
40580;BRUCELLA ABORTUS;;;;1
100403;PACIFIC APTT-XL;;;;1
6944413801882;CALIBRADOR EDAN GASOMETRO;;;;1
6944413802209;CARTUCHOS EDAN GASOMETRO;;;;1
130105000101;MAGLUMI REACTION CUP (3*182CUPS)APPLY TO X8/X6/X3;;;;1
130652012M;MAGLUMI DHEA-S (CLIA) 2G/50 tests;;;;1
130603001M;MAGLUMI TSH (CLIA) 1G/50 tests;;;;1
130616504M;MAGLUMI IL-6 (CLIA) 2G/50 tests;;;;1
130201035M;MAGLUMI Free PSA (CLIA) 2G/100 tests;;;;1
130252001M;MAGLUMI FSH (CLIA) 2G/100 tests;;;;1
130201038M;MAGLUMI CA 15-3 (CLIA) 2G/100 tests;;;;1
130219008M;MAGLUMI HIV Ab/Ag Combi (CLIA) 2G/100 tests;;;;1
130606002M;MAGLUMI Troponin I (CLIA) 1G/50 tests;;;;1
130252003M;MAGLUMI Total ? HCG (CLIA) 2G/100 tests;;;;1
130266001M;MAGLUMI PCT (CLIA) 2G/100 tests;;;;1
130201032M;MAGLUMI CEA (CLIA) 2G/100 tests;;;;1
130201033M;MAGLUMI AFP (CLIA) 2G/100 tests;;;;1
130252006M;MAGLUMI Prolactin (CLIA) 2G/100 tests;;;;1
130258001M;MAGLUMI IgE (CLIA) 2G/100 tests;;;;1
10825468001; ISE ELECTRODO SODIO  C 311 - C 501;;;;1
20751995190;AMMONIA/ETHANOL/CO2 CALIBRATOR ;;;;1
4015630056002;LANCETAS ACCU-CHEK;;;;1
