CATEGORIA;NOMBRE;REFERENCIA;UNIDAD;GENERACION
; COMBITROL PLUS B, LEVEL 2, 30 PCS ;3321207001;;
; COMBITROL PLUS B, LEVEL 3, 30 PCS ;3321215001;;
; COVID-19 (SARS-CoV-2) IgM/IgG ANTIBODY TEST KIT;COV072020;;
; CREAJ Gen.2, 1500Test, cobas c701 ;6407137190;;
; CREAJ Gen.2, 700Test, cobas c, Integra ;4810716190;;
; CRP LX HS, 300Tests, cobas c, Integra ;4628918190;;
; CUBRE OBJETO 24X50MM X 100 UNDS ;N050321;;
; Caja de Cubetas para Equipo de CoagulaciÃ³n BFT II (500 unidades);10446530;;
; Calcium Gen.2, 2250Tests, cobas c 701 ;5168449190;;
; Calibrator f.a.s.proteins ;11355279216;;
; Cell Marque,Renal Cell CArcinoma (PN-15) ;5269369001;;
; Cell Set  cobas c 311 ;4555040001;;
; Cell Wash Solution I/NaOH-D 2x1,8 L ;4880285190;;
; Cellclean Auto (CCA-500A) 4ml X 20 ;6952291001;;
; Cfas Cystatin C ;4975901191;;
; Cfas HbA1c, 3x2ml ;4528417190;;
; Cfas Lipids 3x1ML ;12172623122;;
; Cfas PAC 3x1ML ;3555941190;;
; Chimney 912/others (2x48pcs)  *HN ;11930630001;;
; Cholesterin 400T cobas c 111 ;4718917190;;
; Clean liner Elecsys 2010      *IM ;11800507001;;
; CleanCell M 2x2 L Elecsys,cobas e ;4880293190;;
; Cleaner Basisch cobas c111 ;4774248190;;
; Cobas Integra Cleaner ;20754765322;;
; Combur-10-Test 100str. ;4510089056;;
; Combur-10-UX 100 Str. ;ANCMB-100-00;;
; Control Anormal Etanol Amonio CO2 ;20753009190;;
; Control-Test M (50 Strips);11379194263;;
; Controlset RF II ;3005496122;;
; Cortisol G2 CS Elecsys ;6687750190;;
; Cortisol G2 Elecsys cobas e 100 ;6687733190;;
; Creatinin Jaffe 400T c111 ;5401755190;;
; Cystatin C Control Set Gen.2 ;6729371190;;
; Cystatin C TQ Gen.2, 225T, cobas c,INT ;6600239190;;
; D-Dimer Gen.2, 100Test, cobas c, Integra ;4912551190;;
; D-Dimer Gen.2, 200Test, cobas c111 ;5077753190;;
; D-Dimer Gen.2, Tina-quant a Unisys ;4912497190;;
; DEGASSER K;7713380001;;
; DEPROTEINIZER COMPLETE             125ML ;3110435180;;
; DIGOXIN,  250Tests, cobas c, Integra ;20737836322;;
; Dengue Virus Test TIB ;5940427001;;
; Digoxin Elecsys cobas e 100 V2 ;11820796190;;
; Diluent Universal 2 2x36ml Elecsys ;5192943190;;
; E 170 CELLCHEK ;11820451122;;
; E-CHECK XS (5X 1.5ml x Normal and High) ;5050383001;;
; E/M valve UDV-2 704-0304 ;10888168001;;
; EIGHT CHECK-3WP XTRA ( 4 x 2 ml) ;3134466001;;
; ELECSYS CONTROLSET VIALS ;3142949122;;
; ELECTRODE, ISE REFERENCE, 91XX ;3112306180;;
; EcoTergent, cobas c311 ;5422485190;;
; EcoTergent, cobas c501/502, 12x59 ml ;6544410190;;
; Elecsys ACTH ;3255751190;;
; Elecsys ACTH CalSet ;3255760190;;
; Elecsys BlankCell ;11729306122;;
; Elecsys C-Peptide ;3184897190;;
; Elecsys C-Peptide Calset ;3184919190;;
; Elecsys CA 15-3 II ;3045838122;;
; Elecsys CA 15-3 II CalSet ;3045846122;;
; Elecsys CA 19-9 Calset ;11776215122;;
; Elecsys CA 72-4 Calset ;11776274122;;
; Elecsys Clean-Cell ;11662970122;;
; Elecsys Cortisol CS ;11875124122;;
; Elecsys DHEAS CalSet ;3000095122;;
; Elecsys Digoxin CalSet ;11820907322;;
; Elecsys Diluent Multi Assay ;3609987190;;
; Elecsys Ferritin Calset ;3737586190;;
; Elecsys Ferritin x100 Gen.2 ;3737551190;;
; Elecsys HBsAg Gen.2 ELECSYS COBAS E 100 V2;8814856190;;
; Elecsys HCG+B CalSet II ;3302652190;;
; Elecsys HCG+beta II ;3271749190;;
; Elecsys IgE Calset ;11930427122;;
; Elecsys Insulin ;12017547122;;
; Elecsys Insulin CalSet ;12017504122;;
; Elecsys LH ;11732234122;;
; Elecsys LH CalSet 2.Gen. ;3561097190;;
; Elecsys Myoglobin ;11820788122;;
; Elecsys Myoglobin CalSet ;11820893122;;
; Elecsys PTH ;11972103122;;
; Elecsys PTH CalSet ;8243875190;;
; Elecsys PreciControl Rubella IgM ;4618840190;;
; Elecsys PreciControl Toxo IgM ;4618866190;;
; Elecsys ProCell ;11662988122;;
; Elecsys Prolactin CalSet Gen.2 ;3277356190;;
; Elecsys Prolactin Gen.2.1;3203093190;;
; Elecsys Rubella IgG ;4618793190;;
; Elecsys Rubella IgM ;4618831190;;
; Elecsys Sys Wash ;11930346122;;
; Elecsys T3 Calset ;11731548122;;
; Elecsys T4 Calset 2.Generation ;12017717122;;
; Elecsys Toxo IgG ;4618815190;;
; Elecsys Toxo IgM ;4618858190;;
; Elecsys anti-HAV IgM ;11820591122;;
; Elecsys anti-HBc IgM ;11820567122;;
; Elecsys anti-HBe ;11820613122;;
; Estradiol G3 CS Elecsys ;6656048190;;
; Estradiol G3 Elecsys cobas e 100 ;6656021190;;
; FIJADOR CITOLOGICO CITOFIX SPRAY 100ml;FQFCT-100-00;;
; FILTER MESH/FELT 60X60MM ;7165455001;;
; FILTER WATER ;7315716001;;
; FLUID PACK C3 ;3144038001;;
; FLUOROCELL PLT 2 X 12ML ;6510299001;;
; FLUOROCELL RET 2 X 12ML ;6510272001;;
; FLUOROCELL WDF 2 X 42ML ;6510256001;;
; FLUOROCELL WNR 2 X 82ML ;6510248001;;
; FRUC, 150Tests, cobas c, Integra ;4537939190;;
; FUENTE DE PODER CORSAIR CX750M SEMI MODULAR - 80 PLUS BRONCE - ATX (CP-9020222-NA);PSU0209 ;;
; FastStart Essential DNA Green Master ;6402712001;;
; FastStart Essential DNA Probes Master ;6402682001;;
; Folate G3 CS Elecsys V2 ;7560001190;;
; Folate G3 Elecsys cobas e 100 V2 ;7559992190;;
; GGT Gen.2, 1200Tests, cobas c701 ;5168775190;;
; GGT Gen.2, 400Tests, cobas c, Integra ;3002721122;;
; GGT HICO 200T cobas c111 ;5401461190;;
; GLUC HK Gen.3, 800Tests, cobas c, Int. ;4404483190;;
; Glucose 400T cobas c 111 ;4657527190;;
; H. PYLORI AG HECES CASS X25 TEST (CTK) ;R0192CTKX25;;
; HALOGEN LAMP ;4813707001;;
; HAPT Gen.2, 100Tests, cobas c, Integra ;3005593322;;
; HARNESS, MAIN TUBING, 9180 ;3074064001;;
; HBsAg Confirmatory Test Elecsys,cobas e ;11820648122;;
; HE4 Elecsys cobas e 100 ;5950929190;;
; HE4 PC Elecsys ;5950953190;;
; HIGH PURE VIRAL RNA KIT ;11858882001;;
; HIV 4TA GEN 1.2 / HIV P24 COMBO X 25 CASSETTES - ALL TEST CHINA;IHIBG-425;;
; HIV Ag Elecsys cobas e 100 ;11971611122;;
; HIV PC G2 Elecsys ;6924107190;;
; HSV-1 IgG Elecsys cobas e 100 ;5572185190;;
; HSV2 IgG Elecsys cobas e 100 V2;8948887190;;
; HTLV I/II Elecsys cobas e100 ;7091656190;;
; Haemolyse reagent 800T cobas C111 ;5007232190;;
; Handheld Battery Pack ;4805640001;;
; HbA1c TQ haemolyzing rgt, cobas c ;4528182190;;
; Helicobacter Pylori IgM  PRUEBA RAPIDA;6345859001;;
; Hig pure RNA Isolation Kit ;11828665001;;
; IGA Gen.2, 150Tests, cobas c ;3507343190;;
; IGG Gen.2, 150Tests, cobas c ;3507432190;;
; IGM Gen.2, 150Tests, cobas c ;3507190190;;
; IL 6 CS Elecsys,cobas e ;5109469190;;
; IL 6 Elecsys,cobas e ;5109442190;;
; INSTC,  65 Tests, cobas c ;4851013190;;
; IRON Gen.2, 200Tests, cobas c, Integra ;3183696122;;
; IRON Gen.2, 750Tests, cobas c701 ;5169291190;;
; IRON Standard ;12146401216;;
; ISE CLEANING SOLUTION  5x100ml ;11298500316;;
; ISE DEPROTEINIZER cobas c 111 system ;4838181001;;
; ISE Diluent Gen.2, cobas c, Hitachi ;4522630190;;
; ISE ELECTRODO CLORO C311- C501 ;3246353001;;
; ISE ELECTRODO POTASIO  C311 - C 501 ;10825441001;;
; ISE ELECTRODO REFERENCE C311 - C501;3149501001;;
; ISE ELECTRODO REFERENCE C311 - C501 (copia);;;
; ISE ELECTRODO SODIO  c 311 - c 501;10825468001;;
; ISE STANDARD LOW 10 X 3ML ;11183974216;;
; ISETROL ELECTROLYTE CTRL L 1-3 ;3112888180;;
; IgE G2 Elecsys cobas e 100 ;4827031190;;
; Internal Standard Insert, ISE ;5979854190;;
; Iron Gen2. 100T c111 ;5401658190;;
; K+ Biossays Ion Selective Electrode;73101003201;;
; K+ ELECTRODE ;3110338180;;
; KIT MAINTENANCE 3 C501 ;6883737001;;
; KIT MAINTENANCE 6 MONTH ;5521521001;;
; KIT-PM cobas b 221 <2/4/6> (YEARLY) ;5785120001;;
; LAMINA 12 CONCAVIDADES ;CSLAM-001-0;;
; LAMP HALOGEN 12V/20W ASSY ;5344620001;;
; LAMPARA CUELLO GANSO OBLICUA; MOB-13405;;
; LATEX PS-FLUO RED-2.5 ;8102732001;;
; LDH 100T cobas c 111 ;5401674190;;
; LDHI Gen.2 acc.IFCC, 300T, cobas c, Int. ;3004732122;;
; LDL-C Gen.3, 100Tests, cobas c111 ;7005806190;;
; LDL-C Gen.3, 200Tests, cobas c,Int ;7005717190;;
; LIPC, 200Tests, cobas c, Integra ;3029590322;;
; LIPC, 580Tests, cobas c701 ;7041918190;;
; LYSERCELL-WDF WDF-210A ;7837984001;;
; LYSERCELL-WNR  WNR-210A ;7838000001;;
; Lactate 100Tests cobas c111 ;5401666190;;
; Lamp Halogen 12V/100W Assy ;5070856001;;
; Latex Duke 4207 ( 7um) ;5333377001;;
; LightCycler 480 Probes Master ;4707494001;;
; LightCycler 480 SYBR Green I M ;4707516001;;
; LightCycler 8-Tube Strips (white) ;6612601001;;
; Lipase color 100T c111 ;5401704190;;
; Liquid Waste Container ;6390536001 ELIM;;
; MAGLUMI SCCA (CLIA) 2G/100 tests;130201041M;;
; MAGLUMI T3 (CLIA) 1G/100 tests;130203003M;;
; MAINTENANCE KIT 4 C501 ;7783175001;;
; MEASURING CELL ;7166656001 ELIM;;
; MEASURING CELL V2;9421408001;;
; MEASURING CELL WITH REF. ELECT. V7.0 ;5151643001;;
; MEMBRANE EQ.OSMOSIS, AG2521TF 2.5 diam ;4516303001;;
; MG 100T cobas c 111  ;8900019190;;
; MG Gen.2, 200Tests, cobas c701,702 ;6407358190;;
; MG Gen.2, 250Tests, cobas c ;6481647190;;
; MICROSCOPIO BINOCULAR LED 1600X Binocular;B2525;;
; MOTOR 24VDC ASSY ;4793544001 ELIM;;
; Methanol ;7417527001;;
; Micral-Test 30 ;11544039172;;
; Micro Cuvette Segment ;4357108001;;
; Motor assembly for outer arm (Motor brazo de aguja);M10016;;
; Multi pack, cobas c, Integra 20/40/20 ;4593138190 ELIM;;
; Multiclean 2x2 litros ;4880277190;;
; N-Acetyl-L-Cystein ;10068365103 ELIM;;
; NA+ ELECTRODE ;3110419180;;
; NACl 9% Dil, cobas c ;4489357190;;
; NACl 9% Dil, cobas c 701 ;5172152190;;
; NH3L 100T cobas c 111 ;5401739190;;
; NH3L,  150Tests, cobas c, Integra ;20766682322;;
; NaCL 9% cobas c 111 ;4774230190;;
; NaOH-D, cobas c ;4489241190;;
; NaOH-D, cobas c 701 ;5172128190;;
; P NOZZLE 3 BOX ASSY ;5047692001 ELIM;;
; PAPER 91XX SERIES PRINTER 5/PKG ;3112292018;;
; PC/CC-CUPS ;3023141001;;
; PCB ASSY LLD-P3 ;5203970001 ELIM;;
; PH 7.0 Buffer solution ;7521880001;;
; PHOS Gen.2, 250Tests, cobas c, Integra ;3183793122;;
; PHOS Gen.2, 600Tests, cobas c701 ;5171377190;;
; PIPETTING UNIT U 701 V3;9161902001;;
; PPx Na+K+Cl COBAS C311 - C501;7275153001;;
; PPx PRG (Immunology Asy) ;6898866001;;
; PRECINORM Proteins U ;3121313122;;
; PRINTER PAPER OMNI/cobas b 221 (6 PCS) ;3113361180;;
; PROBE SAMPLE ;8245401001;;
; PRUEBAS DE HBA1C PARA PREMIER HB9210 TRINITY BIOTECH ;09-06-0050;;
; PUMP MEMBRANE SUCTION L200 ;7315805001 ELIM;;
; PUMP MEMBRANE SUCTION L450 ;7165790001 ELIM;;
; Phospor 100T cobas c 111 ;5401780190;;
; PreClean M Elecsys Kit ;3004899190;;
; PreciControl Anti-HCV Elecsys;3290379190;;
; PreciControl CMV IgM Elecsys,cobas e ;4784626190;;
; PreciControl Cardiac G.4 Elecsys (QCS);4917049190;;
; PreciControl ClinChem Multi 1, 20x5ml ;5117003190;;
; PreciControl ClinChem Multi 1, 4x5 ml ;5947626190;;
; PreciControl ClinChem Multi 2, 20x5ml ;5117216190;;
; PreciControl ClinChem Multi 2, 4x5 ml ;5947774190;;
; PreciControl HBA1c Norm ;5479207190;;
; PreciControl HBA1c Path ;5912504190;;
; PreciControl HBeAg ;11876376122;;
; PreciControl HBsAg Gen.2 ;4687876190;;
; PreciControl HTLV ;7108133190;;
; PreciControl Multimarker Elecsys ;5341787190;;
; PreciControl ThyroAB ;5042666191;;
; PreciControl Tumor Marker Elec ;11776452122;;
; PreciControl Universal G.2 Ele ;11731416190;;
; PreciControl anti-CCP Elecsys,cobas e ;5031664190;;
; PreciControl anti-HAV IgM ;11876368122;;
; PreciControl anti-HBc ;4927931190;;
; PreciControl anti-HBs ;11876317122;;
; Precicontrol Anti HBc Igm ;11876333122;;
; Precinorm Fructosamin ;11098985122;;
; Precinorm U  20x5 ml ;10171743122;;
; Preciset RF ;12172828322;;
; ProCell M 2x2 L Elecsys,cobas ;4880340190;;
; Probe Wash M Elecsys Kit ;3005712190;;
; Progesterone G3 CS Elecsys ;7092547190;;
; Progesterone G3 Elecsys cobas e 100 ;7092539190;;
; QUAD-RING, ELECTRODE SEAL, EA ;3082539001 ELIM;;
; REAGENT DISK ;11809458001;;
; REFERENCE HOUSING ;3112284180;;
; RETSEARCH II Diluent (1L) ;12216698001;;
; RFII, 100Tests, cobas c, Integra ;20764574322;;
; RT Capillary packaged 5x100 St. ;10997935001 ELIM;;
; Rack Conveyor;9156119001;;
; Reaction Cell Set for cobas c701/711 ;4939719001 ELIM;;
; Reaction cell sets for cobas c 501 ;4854241001;;
; Reference Plate cobas u 601;7170947001 ELIM;;
; Reference cuvette cobas u 701 ;7127219001 ELIM;;
; Reflotron-ALP 30str. ;11622773202;;
; Reflotron-Amylase      15 Str. ;11200658202;;
; Reflotron-Bilirubin    30 Str. ;10905321202;;
; Reflotron-Cholesterol  30 Str. ;10745065202;;
; Reflotron-Creatinin    30 Str. ;10886874202;;
; Reflotron-GGT 30 Str. ;10745081202;;
; Reflotron-GOT 30 Str. ;10745120202;;
; Reflotron-GPT 30 Str. ;10745138202;;
; Reflotron-Potassium ;11208764202;;
; Reflotron-Triglyceride 30 Str. ;10745049202;;
; Reflotron-Urea 15 Str. ;11200666202;;
; Reflotron-Uric Acid  30 Str. ;10745103202;;
; Roche Cardiac D-Dimer 10 tests ;4877802190;;
; Roche Cardiac M 20 tests (cobas) ;4877799190;;
; S1 RINSE SOLUTION, 2PCS ;3260917184;;
; S2 FLUID PACK, 1PC ;3260925184;;
; SEAL CAP SYRINGE, SET OF 5 ;28136815001;;
; SEAL TEFLON  250UL, SET OF 10 ;28086842001;;
; SENSOR S PRESSURE ASSY ;5929644001 ELIM;;
; SMS, cobas c ;4489225190;;
; SMS, cobas c 701 ;5172136190;;
; SMS-Solution for HIT 917 ;11555421216;;
; SODIUM ELECTRODE CONDITIONER (125ML) ;3110362180;;
; STROMATOLYSER 4DS 126 ml (FFS-800A) ;3003701001;;
; STROMATOLYSER FB (5L)  FBA-200A ;12216116001;;
; STROMATOLYSER IM 10L (SIM-220A) ;12215900001;;
; STROMATOLYSER NR, 1 L ;3331784001;;
; STROMATOLYSER-WH 1 x 500ml SWH-200A) ;12216540001;;
; SULFOLYSER (5L)   SLS-220A ;3337006001;;
; SULFOLYSER 1 x 500ml ;4880463001;;
; SULFOLYSER 1,5 (HGB)(SLS-210A) ;12215616001;;
; SYRINGE 250uL ;28088144001 ELIM;;
; SYRINGE HAMILTON 0.25ML ;7165471001 ELIM;;
; SYRINGE HAMILTON 2.5ML ;6274196001 ELIM;;
; Sample Cleaner 2, cobas 6000 ;5958024190;;
; Sample Cup Micro 13/16 ;5085713001;;
; Syphilis PC Elecsys ;6923364190;;
; TANK WASTE INTERNAL ;4793951001;;
; TDM Control Set ;4521536190;;
; TG G2 CS Elecsys V2;8991405190;;
; TG G2 Elecsys cobas e 100 V2;8906556190;;
; TP Gen.2, 300Tests, cobas c, Integra ;3183734190;;
; TPUC Gen.3, 150Tests, cobas c, IntegraTP ;3333825190;;
; TRAJE PROTECCION BLANCO S - POLIESTER MICROFIBRA ;IM06695;;
; TRIGL,  250Tests, cobas c, Integra ;20767107322;;
; TRSF Gen.2, 100Tests, cobas c, Integra ;3015050122;;
; TRSF Gen.2, 500Tests, cobas c701 ;5588855190;;
; TTP SL APTT SILICA + CACL2: AC 1x10ML;BE-771251.1;;
; TUBE SET, PERISTALTIC PUMP, EA ;3087697001;;
; Test Strips Waste carton  Urisy;3161161001;;
; Testosterone CS Gen.2.1 Elecsys,cobas e ;5202230190;;
; Total Protein 400T cobas c111 ;4657586190;;
; Transcriptor First Strand cDNA ;4379012001;;
; Troponin I STAT Elecsys,cobas e ;5094798190;;
; Troponin PC Elecsys ;5095107190;;
; Tube of peristaltic pump ( 3 pcs) Tubo de bomba peristÃ¡ltica (3 piezas);M13003;;
; Tubings-set for M1000 (Only for Internal tubes in analyer)Kit de tuberias;M13000-1;;
; UA Gen.2, 400Tests, cobas c, Integra ;3183807190;;
; UA plus 400T cobas c111 ;4657608190;;
; UIBC, 100Tests, cobas c, Integra ;4536355190;;
; UREA 400T cobas c 111 ;4657616190;;
; UREA/BUN Uv Mod P ;11729691216;;
; UREAL,  500Tests, cobas c, Integra ;4460715190;;
; UREAL, 1900Tests, cobas c701 ;5171873190;;
; URINE DILUENT (500 ML) ;3110249180;;
; URISYS 2400 Calibration Strips ;3012590061;;
; URISYS 2400 Cassettre 400 Strips ;3012557061;;
; URISYS Thermo-printer paper 5 ;4352483001;;
; Universal Diluent 2x16ml Elecsys,cobas e ;11732277122;;
; Universal Diluent 2x36ml Elecsys;3183971122;;
; Vitamin B12 G2 CS Elecsys V2 ;7212780190;;
; Waste Pump (Bomba de drenaje);M07010;;
; Wright Staining solution 1 LITRO;6585248001;;
; XN Check 12x3.0ml Level 1,2,3 ;7051506001;;
; XN-Cal 1x3ml ;7051395001;;
; XN-Cal 5x3ml ;7051379001;;
; XN-Cal PF 1x3ml ;7051301001;;
; XN-Cal PF 5x3ml ;7051212001;;
; XN-Check BF 6x3.0ml Level 1,2 ;7051409001;;
; a-Amylase 200T cobas c 111 ;5401496190;;
; b2-Microglob.Control-Set Serum ;8362785190;;
; bcl-2 (SP66) PAB ;6446329001;;
; cobas 6000 c 501 module ;4745914001 ELIM;;
; cobas C SPECIAL CELL CLEANING SOLUTION ;4880994190;;
; cobas Integra Check Sample ;20757144322;;
; cobas U Calibration Strip, 25 Str. ;6390579001;;
; cobas b 101 HbA1c Control ;6380204190;;
; cobas b 101 HbA1c Test 10PC ;6378676190;;
; cobas b 101 Lipid Panel 10PC ;6380115190;;
; cobas b 101 Lipid Panel Control ;6380182190;;
; cobas b 101 instrument ;6378668190;;
; cobas h 232 Kit (no scanner) ;4901126190;;
; cobas u cuvette (400 pc) ;6390552001;;
; cobas u pack (400 strips) ;6334601001;;
; free HCGbeta CS Elecsys,cobas e ;4854080200;;
; hGH CS Elecsys ;5390133190;;
; hGH Elecsys cobas e 100 ;5390125190;;
; sample probe cobas u 601 ;7127162001 ELIM;;
; sample probe cobas u 701 ;7127189001 ELIM;;
;"""Sonda nasogÃ¡strica, 8 Fr, 25 cm """;SNG8FR;;
;0 HEMATOXILINA DE HARRIS 1 LT;FQHTH-1K0-00;;
;0 PARATIFICO B X 5ML. (WIDAL) 200 DET;IL11000;;
;4939140001;;;
;05577390001 HemosIL RecombiPlastin;W-20002950;;
;07127871001 CLEANANCE AGENT CLEAN B;W-9832700;;
;7847831001;;;
;1              Filtro de CarbÃ³n Activado EPM-20 ROCHE;4516265001;;
;10825441;;;
;10UL Filter Tips 10x96's;5480566001;;
;11355279216;;;
;12017504122;;;
;1330057;;;
;13mm sample disk tube adapter (sdta);7399774001;;
;1D - Bar Code Activation KeyÂ (8);6720269001;;
;1cc pulset ABG 23Gx1Â¨ A/B NEEDLE 25U BALANCED HEPARINE;WM-3103;;
;2 MegaPixel Pathology Monitor 24in;6668437001;;
;2D DATAMATRIX - Bar Code Activation KeyÂ (8);6720277001;;
;2D PDF417 - Bar Code Activation KeyÂ (8);6720285001;;
;3246353001;;;
;450433;;;
;451+;;;
;4564363001;;;
;458170  CT / NG  SETLMT;4176294001;;
;458400  CD CLIN CHEM SYSTEM SERV  SETLMT;4178548001;;
;458460  IM ELECSYS INSTRUMENTS  SETLMT;4176600001;;
;458470  CD IMMUNODIA SYSTEM SERV  SETLMT;4178912001;;
;458560 HE INSTRUMENTS  SETLMT;4178106001;;
;4594266001;;;
;459440  BG + E INSTRUMENTS  SETLMT;4184009001;;
;4636864001;;;
;5'-Nucleotidase 200 TEST+CAL (BIOSSAYS 240 PLUS);130502015AC24;;
;5'-Nucleotidase 255 TEST+CAL (BIOSSAYS C8);130502015SC;;
;5.0 sterile combitip plus tips;5960487001;;
;50 DRY SWABS, EACH WITH CAP/BX;4051335001;;
;5K BG/COOX 450 TEST PACK 31D ;W-00055445010;;
;5K BG/ISE/GL/COOX 600 TEST PACK 21D ;W-55360010;;
;651016;;;
;6754155001;;;
;6ft USB extension cable;7118937001;;
;71034331*0;;;
;75 pos. Roche/Hitachi Racktray*IM;11906984001;;
;750-025 Battery Ram;4516087001;;
;750-032 SET OF TUBES;4516109001;;
;750-036 Suction cuvettefor PM 750;4516117001;;
;8 Extension Arm;7198833001;;
;: ASAS REPUESTO D-2 2MM (HIMEDIA)(0.005ML)CALIBRADA;LA020-UNID;;
;: RAPID INNOVA NITRATE A REAGENT 15ML/VL;R8309003;;
