REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR
130601032M1;MAGLUMI CEA (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130653006M1;MAGLUMI Thyroglobulin (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652010M1;MAGLUMI Testosterone (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601521M1;MAGLUMI H.pylori IgG (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652002M1;MAGLUMI LH (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601035M1;MAGLUMI Free PSA (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601033M1;MAGLUMI AFP (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652003M1;MAGLUMI Total B HCG (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130666001M1;MAGLUMI PCT (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130663001M1;MAGLUMI FA (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130655002M1;MAGLUMI Insulin (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130651001M1;MAGLUMI Ferritin (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652001M1;MAGLUMI FSH (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130656008M1;MAGLUMI D-Dimer (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130653002M1;MAGLUMI T4 (CLIA) 2G/50 tests ;1;RAPIDIAGNOSTIC; 2G;1
130653003M1;MAGLUMI T3 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130653005M1;MAGLUMI Free T3 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130612003M1;MAGLUMI Rubella IgG (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130656002M1;MAGLUMI cTnI (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130603023M1;MAGLUMI TSH (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130658001M1;MAGLUMI IgE (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130670004M1;MAGLUMI 17aOH Progesterone (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652007M1;MAGLUMI Estradiol (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130203023M1;MAGLUMI TSH (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130652009M1;MAGLUMI Progesterone (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130263002M1;MAGLUMI Vitamin B12 (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130670002M1;MAGLUMI Cortisol (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130602516M1;MAGLUMI Androstenedione (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130610009M1;MAGLUMI HBsAg(CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130299006M1;MAGLUMI Light Check(1Box=5*2ml);1;RAPIDIAGNOSTIC; 2G;1
130612004M1;MAGLUMI Rubella IgM (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130299004M1;MAGLUMI Starter  1+2 (1Box=2*230ml) SERIE M/X3;1;RAPIDIAGNOSTIC; 2G;1
130299007M1;MAGLUMI System Tubing Cleaning Solution(1Box=1Bottle=1*500ml);1;RAPIDIAGNOSTIC; 2G;1
130299005M1;MAGLUMI Wash Concentrate 1Box=1x714mL (SERIE M/X3);1;RAPIDIAGNOSTIC; 2G;1
130658004M1;MAGLUMI IGA (CLIA) 2G/50 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130656014M1;MAGLUMI HS-CTNI (CLIA) 2G/50 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130656001M1;MAGLUMI HS-CTNI (CLIA) 2G/50 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130252002M1;MAGLUMI LH (CLIA) 2G/100 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130201040M1;MAGLUMI CYFRA 21-1 (CLIA) 2G/100 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130251001M1;MAGLUMI FERRITIN (CLIA) 2G/100 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130613003M1;MAGLUMI EPO (CLIA) 2G/50 TESTS;1;RAPIDIAGNOSTIC; 2G;1
130202516M1;MAGLUMI ANDROSTENEDIONE (CLIA) 2G/100 TESTS;1;RAPIDIAGNOSTIC; 2G;1
1301050001011;MAGLUMI REACTION CUP (3*182CUPS)APPLY TO X8/X6/X3;1;RAPIDIAGNOSTIC; 2G;1
130652012M1;MAGLUMI DHEA-S (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130603001M1;MAGLUMI TSH (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130616504M1;MAGLUMI IL-6 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130201035M1;MAGLUMI Free PSA (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130252001M1;MAGLUMI FSH (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130201038M1;MAGLUMI CA 15-3 (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130219008M1;MAGLUMI HIV Ab/Ag Combi (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130606002M1;MAGLUMI Troponin I (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130252003M1;MAGLUMI Total ? HCG (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130266001M1;MAGLUMI PCT (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130201032M1;MAGLUMI CEA (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130201033M1;MAGLUMI AFP (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130252006M1;MAGLUMI Prolactin (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130258001M1;MAGLUMI IgE (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130201031M1;MAGLUMI CA 125 (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130662008M1; MAGLUMI HSV-2 IgG (CLIA) 2G/50 tests ;1;RAPIDIAGNOSTIC; 2G;1
130603003M1;MAGLUMI T3 (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130603002M1;MAGLUMI T4 (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130662006M1;MAGLUMI CMV IgM (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130251027M1; MAGLUMI H.pylori IgM (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130651027M1; MAGLUMI H.pylori IgM (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130253006M1; MAGLUMI Thyroglobulin (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130601034M1; MAGLUMI Total PSA (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130663002M1; MAGLUMI Vitamin B12 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
